District,date,Vehicle,Industry,Residential,Misc,Construction,Agriculture,Sum_of_Sources,Vehicle%,Industry%,Residential%,Misc%,Construction%,Agriculture%
Khushab,11/23/2024 0:00,268.2299992,131.8599993,61.39999962,35.40499907,34.20999908,605.0949969,1136.199993,23.60763957,11.60535118,5.403978172,3.116088653,3.010913509,53.25602892
Khushab,11/23/2024 1:00,276.6700002,134.7100003,63.0400001,35.16500044,33.97000046,628.4450014,1172.000003,23.60665525,11.4940273,5.378839586,3.000426651,2.898464196,53.62158702
Khushab,11/23/2024 2:00,288.7850004,139.5750004,65.61000018,35.90000067,34.70500069,660.8250021,1225.400004,23.56659045,11.39015831,5.354170063,2.929655667,2.832136491,53.92728902
Khushab,11/23/2024 3:00,296.43,143.33,67.19000001,35.84000001,34.6,672.8099998,1250.2,23.7106063,11.46456567,5.374340107,2.866741323,2.767557191,53.81618941
Khushab,11/23/2024 4:00,297.7399999,146.2299998,67.34999995,34.78999958,33.32999954,650.1599988,1229.599998,24.2143787,11.89248537,5.477391029,2.829375378,2.710637574,52.87573195
Khushab,11/23/2024 5:00,296.1049997,149.2749999,66.97999988,33.78999996,32.075,609.7749997,1187.999999,24.92466329,12.56523569,5.638047132,2.844276093,2.699915827,51.32786197
Khushab,11/23/2024 6:00,290.5450003,149.3750001,65.52000011,31.51000004,29.575,565.4750002,1132.000001,25.66651944,13.19567138,5.787985872,2.783568906,2.612632507,49.95362189
Khushab,11/23/2024 7:00,281.7450001,147.1050002,63.43000009,29.74000044,27.64500046,525.1350012,1074.800003,26.21371413,13.6867324,5.901563076,2.767026458,2.572106475,48.85885746
Khushab,11/23/2024 8:00,271.4399999,143.9899999,61.21999995,29.11999998,26.9,488.9299999,1021.6,26.57008614,14.09455756,5.992560686,2.850430696,2.633124511,47.85924041
Khushab,11/23/2024 9:00,261.3700005,139.7000005,58.97000023,28.08000069,25.88000069,462.4000021,976.4000046,26.76874224,14.30766077,6.039532973,2.875870602,2.65055311,47.3576403
Khushab,11/23/2024 10:00,253.68,134.9200001,57.07000002,26.53000021,24.51000023,451.8900005,948.6000011,26.74256796,14.22306556,6.016234446,2.796753129,2.583807738,47.63757116
Khushab,11/23/2024 11:00,246.4850001,129.0850001,55.18000005,24.78000002,22.975,451.8950001,930.4000003,26.49236888,13.87414016,5.930782463,2.663370594,2.469368013,48.5699699
Khushab,11/23/2024 12:00,249.6849999,131.3949999,57.04999993,31.36499977,29.76499977,483.7399994,982.9999986,25.40030521,13.36673449,5.80366226,3.190742606,3.027975566,49.21057986
Khushab,11/23/2024 13:00,252.0050003,129.6150003,56.71000016,27.87000046,26.34500046,495.6550014,988.2000031,25.50141667,13.116272,5.738716857,2.820279333,2.665958346,50.15735679
Khushab,11/23/2024 14:00,255.9349995,128.4949996,56.94999979,25.87499952,24.45499954,518.4899985,1010.199996,25.3350822,12.71975847,5.637497524,2.561373947,2.420807724,51.32548013
Khushab,11/23/2024 15:00,255.5999995,126.4799994,56.75999975,25.8899991,24.55999908,533.7099974,1022.999994,24.98533734,12.36363638,5.548387104,2.530791715,2.400781938,52.17106553
Khushab,11/23/2024 16:00,246.2249996,121.5749995,54.99999976,27.1149991,25.73499908,526.1499975,1001.799994,24.57825923,12.13565583,5.490117794,2.706627995,2.568875946,52.5204632
Khushab,11/23/2024 17:00,232.5699997,115.3899997,52.49999986,28.47999954,27.12999954,505.9299987,961.9999971,24.17567572,11.9948025,5.457380459,2.960498922,2.820166281,52.59147612
Khushab,11/23/2024 18:00,218.9899999,109.0599999,49.90999994,29.61999998,28.2,485.6199999,921.3999996,23.76709355,11.83633601,5.416757105,3.214673322,3.060560019,52.70458
Khushab,11/23/2024 19:00,206.9299997,103.1999998,47.42999988,29.52499976,28.13999977,464.974999,880.1999979,23.5094297,11.72460804,5.388548056,3.354351265,3.197000663,52.82606228
Khushab,11/23/2024 20:00,195.7349998,97.83499985,45.10499992,29.63999977,28.18999977,445.5949993,842.0999985,23.24367655,11.61797887,5.356252227,3.519771978,3.347583401,52.91473698
Khushab,11/23/2024 21:00,190.0099998,94.71999979,43.7999999,29.01499977,27.58999977,435.8649991,820.9999981,23.14372719,11.53714982,5.33495737,3.534104731,3.360535912,53.08952498
Khushab,11/23/2024 22:00,193.4399998,95.68999982,44.31999993,28.55499978,27.03999977,444.7549992,833.7999983,23.19980813,11.47637323,5.315423366,3.424682159,3.242983908,53.3407292
Khushab,11/23/2024 23:00,202.8450001,99.39500022,46.11000009,28.06500044,26.54500046,465.4400012,868.4000025,23.3584753,11.44576231,5.30976508,3.231805661,3.056771117,53.59742052
Khushab,11/24/2024 0:00,211.8999994,103.3199995,47.86499972,27.5049993,25.94499931,481.3649977,897.8999949,23.59951003,11.50684932,5.330771801,3.063258655,2.889519931,53.61009026
Khushab,11/24/2024 1:00,214.6900002,103.5100002,48.26000009,26.46000023,25.01000023,491.2700008,909.2000017,23.61306641,11.38473383,5.307963044,2.91025079,2.750769928,54.033216
Khushab,11/24/2024 2:00,216.465,103.7249999,48.66499996,26.47999978,25.13999977,500.2249995,920.6999989,23.51091563,11.26588466,5.285652224,2.876072533,2.730531096,54.33094386
Khushab,11/24/2024 3:00,215.3899998,103.8899999,48.54499993,26.91999998,25.575,494.7799998,915.0999994,23.53731832,11.35285761,5.304884708,2.941754999,2.794776529,54.06840783
Khushab,11/24/2024 4:00,209.6300001,103.72,47.19500003,26.21500001,24.625,458.9150001,870.3000002,24.08709641,11.91772952,5.4228427,3.012179709,2.829484085,52.73066758
Khushab,11/24/2024 5:00,200.1699996,102.6499997,44.81999984,24.27999954,22.32999954,403.1499985,797.3999968,25.10283427,12.87308754,5.620767497,3.044895867,2.800351095,50.55806373
Khushab,11/24/2024 6:00,190.7000001,101.1900002,42.60500005,22.96000032,20.76500034,354.0800009,732.3000019,26.04123987,13.81810732,5.81797077,3.135327088,2.835586548,48.3517684
Khushab,11/24/2024 7:00,180.4999999,98.33999982,40.37999994,22.26499968,19.95999966,315.9549991,677.3999981,26.64599947,14.51727194,5.961027466,3.286831966,2.946560336,46.64230882
Khushab,11/24/2024 8:00,169.4199998,94.25999986,37.9649999,21.33999987,19.04499989,282.4699995,624.4999988,27.12890314,15.09367495,6.079263407,3.417133692,3.049639699,45.23138512
Khushab,11/24/2024 9:00,160.9799999,90.67999992,36.06499996,20.41999989,18.14499989,260.0099997,586.2999992,27.45693333,15.46648474,6.151287738,3.48285859,3.094831982,44.34760362
Khushab,11/24/2024 10:00,157.5,88.33999999,35.155,19.225,17.075,254.8049999,572.0999999,27.53015207,15.44135641,6.144904737,3.360426499,2.984618074,44.53854221
Khushab,11/24/2024 11:00,156.51,86.34000003,34.76499999,18.1750001,16.15500011,261.5550003,573.5000005,27.29032255,15.05492589,6.061900603,3.169136893,2.816913705,45.60680036
Khushab,11/24/2024 12:00,160.3099999,88.67,36.42499998,23.2750001,21.05500011,286.9650002,616.7000003,25.99481107,14.37814172,5.906437483,3.774120332,3.414139793,46.53234961
Khushab,11/24/2024 13:00,159.5650003,87.68500037,36.71000018,25.21500068,23.10500069,300.5200018,632.800004,25.21570785,13.85666874,5.801201003,3.984671384,3.651232702,47.49051831
Khushab,11/24/2024 14:00,156.2749997,84.49499979,36.26499987,25.78499975,23.88999977,311.7899992,638.4999981,24.47533284,13.23335944,5.679718085,4.038371156,3.741581808,48.83163667
Khushab,11/24/2024 15:00,153.8550003,81.23500028,35.57500014,24.29500046,22.62000046,318.9200013,636.5000029,24.1720345,12.76276511,5.589159463,3.816967847,3.553809954,50.10526313
Khushab,11/24/2024 16:00,157.7249998,81.23499985,35.99499989,22.43499975,20.88999977,332.8199994,651.0999985,24.22438952,12.4765781,5.528336656,3.445707235,3.208416498,51.11657198
Khushab,11/24/2024 17:00,164.3099997,82.81999974,37.02499986,20.64499965,19.33499966,349.9649989,674.0999975,24.3747219,12.28601098,5.492508529,3.062601947,2.868268762,51.91588788
Khushab,11/24/2024 18:00,165.8849998,82.59499979,37.0499999,19.13999977,17.96499977,354.3649991,676.9999981,24.50295424,12.20014771,5.472673561,2.827178704,2.653618881,52.3434269
Khushab,11/24/2024 19:00,156.645,77.95500002,34.88000002,17.40500011,16.35500011,332.3600001,635.6000004,24.6452171,12.26478917,5.487728131,2.738357474,2.573159236,52.29074889
Khushab,11/24/2024 20:00,143.245,72.15500002,31.98000002,16.18000011,15.25500011,298.7850001,577.6000004,24.80003461,12.49220914,5.536703601,2.801246555,2.641101126,51.72870498
Khushab,11/24/2024 21:00,132.4800002,67.6400002,29.71000009,15.70000033,14.79000034,272.480001,532.8000021,24.8648648,12.69519518,5.576201195,2.946696748,2.775900954,51.14114112
Khushab,11/24/2024 22:00,127.7099999,65.76999996,28.69999998,15.455,14.55,259.6149999,511.7999997,24.95310668,12.85072294,5.60765924,3.019734272,2.842907387,50.72586948
Khushab,11/24/2024 23:00,125.8850001,65.34500012,28.32500005,15.67000022,14.66000023,253.2150006,503.1000013,25.02186439,12.98847147,5.630093415,3.114688964,2.913933649,50.33094811
Sialkot,11/23/2024 0:00,473.1999997,243.5199998,97.58999996,1.983000002,25.5,204.8069999,1046.599999,45.21307089,23.26772406,9.324479268,0.189470667,2.436460922,19.56879419
Sialkot,11/23/2024 1:00,511.7900005,256.0550016,105.2400002,1.897000046,24.18000069,219.3380008,1118.500004,45.75681706,22.89271352,9.409029932,0.169602149,2.161823925,19.61001341
Sialkot,11/23/2024 2:00,569.4500005,279.7950002,116.8300001,1.828000002,24.2,242.3970001,1234.500001,46.12798704,22.66464156,9.463750508,0.148076144,1.960307815,19.63523693
Sialkot,11/23/2024 3:00,592.889999,287.3949986,121.8849998,1.767999969,23.25499954,250.4069993,1277.599996,46.40654358,22.49491229,9.540153422,0.138384469,1.820209738,19.5997965
Sialkot,11/23/2024 4:00,550.4400007,265.7200017,114.2200002,1.693000045,21.03000069,230.0970008,1183.200004,46.52129807,22.45774179,9.653482064,0.143086548,1.777383419,19.44700811
Sialkot,11/23/2024 5:00,475.3999996,231.0399998,100.3749999,1.705999999,19.025,196.3539999,1023.899999,46.43031546,22.56470358,9.803203437,0.166617834,1.858091612,19.17706808
Sialkot,11/23/2024 6:00,411.7699996,201.4449994,88.79499989,1.647999983,16.96499977,167.1769997,887.7999983,46.3809417,22.69035816,10.00168958,0.185627392,1.910903335,18.83047984
Sialkot,11/23/2024 7:00,381.8599998,194.2999997,84.28499994,1.88999999,19.19499989,154.7699999,836.2999992,45.66064812,23.23328948,10.07832118,0.225995455,2.295228973,18.5065168
Sialkot,11/23/2024 8:00,363.399999,193.0099984,82.02999973,2.183999958,22.09999943,147.6759992,810.3999958,44.84205342,23.81663369,10.12216191,0.269496541,2.727048315,18.22260612
Sialkot,11/23/2024 9:00,343.0099998,184.4249997,78.55499992,2.27499999,22.09499989,138.6399998,768.999999,44.60468143,23.98244472,10.21521457,0.295838751,2.873211952,18.02860858
Sialkot,11/23/2024 10:00,318.8600002,171.5099998,73.12000008,2.178999996,20.66999989,128.661,715,44.59580423,23.98741257,10.22657344,0.304755244,2.890909075,17.99454545
Sialkot,11/23/2024 11:00,299.1700008,164.8050011,68.08500023,2.222000027,21.46500034,123.0530005,678.8000031,44.07336469,24.27887453,10.03020034,0.327342371,3.162198033,18.12802003
Sialkot,11/23/2024 12:00,303.5499998,192.8749999,69.28999996,2.975,33.65,134.5599999,736.8999996,41.19283484,26.17383634,9.402904057,0.403718279,4.566426926,18.26027955
Sialkot,11/23/2024 13:00,296.22,189.8599995,67.65,3.158999987,34.38999977,132.7209998,723.999999,40.91436469,26.22375687,9.343922664,0.436325966,4.749999975,18.33162983
Sialkot,11/23/2024 14:00,290.6500001,183.6550001,66.25,3.216999998,33.3,130.228,707.3000002,41.09288845,25.965644,9.366605398,0.45482822,4.708044676,18.41198925
Sialkot,11/23/2024 15:00,282.1100007,170.4250013,63.94000015,3.000000029,29.17000046,124.4550006,673.1000032,41.91204863,25.31941769,9.499331428,0.445699007,4.333680035,18.48982321
Sialkot,11/23/2024 16:00,282.1700001,167.5049995,63.56000004,2.806999989,27.53999977,123.7179998,667.2999992,42.285329,25.10190315,9.524951313,0.420650381,4.127079245,18.54008691
Sialkot,11/23/2024 17:00,282.2699998,162.7549994,63.04499998,2.461999989,24.71499977,122.1529997,657.3999987,42.93732893,24.75737751,9.590051735,0.374505627,3.759507122,18.58122908
Sialkot,11/23/2024 18:00,276.3699996,157.3949994,61.29499989,2.272999983,23.11499977,119.3519997,639.7999983,43.1963114,24.60065642,9.580337613,0.355267269,3.612847739,18.65457956
Sialkot,11/23/2024 19:00,254.8899993,145.5649987,56.28499985,2.08099997,21.45499954,110.5239994,590.7999969,43.14319579,24.63862551,9.526912686,0.352234256,3.63151653,18.70751523
