District,Date,AQI
Attock,9/1/2023,150.5411967
Attock,9/2/2023,80.87409904
Attock,9/3/2023,212.878037
Attock,9/4/2023,78.31645031
Attock,9/5/2023,141.2778297
Attock,9/6/2023,140.2682935
Attock,9/7/2023,87.61686546
Attock,9/8/2023,167.6485184
Attock,9/9/2023,140.2690179
Attock,9/10/2023,129.4873128
Attock,9/11/2023,102.9257924
Attock,9/12/2023,113.4955354
Attock,9/13/2023,194.1640902
Attock,9/14/2023,123.027786
Attock,9/15/2023,67.02295637
Attock,9/16/2023,148.6616595
Attock,9/17/2023,97.83694116
Attock,9/18/2023,130.9777191
Attock,9/19/2023,80.39846324
Attock,9/20/2023,164.4239341
Attock,9/21/2023,102.1288398
Attock,9/22/2023,122.77971
Attock,9/23/2023,114.3024432
Attock,9/24/2023,166.4585123
Attock,9/25/2023,90.26001058
Attock,9/26/2023,207.3481726
Attock,9/27/2023,156.9705781
Attock,9/28/2023,115.6070703
Attock,9/29/2023,102.0929118
Attock,9/30/2023,185.8283408
Attock,10/1/2023,168.8811731
Attock,10/2/2023,96.74335783
Attock,10/3/2023,163.1209893
Attock,10/4/2023,120.7352732
Attock,10/5/2023,152.5538744
Attock,10/6/2023,251.826825
Attock,10/7/2023,286.7019995
Attock,10/8/2023,228.4370616
Attock,10/9/2023,92.73285187
Attock,10/10/2023,109.9959987
Attock,10/11/2023,240.0002862
Attock,10/12/2023,178.0090083
Attock,10/13/2023,174.9841939
Attock,10/14/2023,102.6569637
Attock,10/15/2023,103.0730603
Attock,10/16/2023,36.64094932
Attock,10/17/2023,127.0581197
Attock,10/18/2023,155.7354107
Attock,10/19/2023,213.2898909
Attock,10/20/2023,175.5309019
Attock,10/21/2023,210.1388631
Attock,10/22/2023,244.3701996
Attock,10/23/2023,188.6093832
Attock,10/24/2023,209.8454831
Attock,10/25/2023,202.6943855
Attock,10/26/2023,205.8995403
Attock,10/27/2023,211.4585132
Attock,10/28/2023,233.8218828
Attock,10/29/2023,188.9124325
Attock,10/30/2023,211.6298481
Attock,10/31/2023,277.3382268
Attock,11/1/2023,237.838741
Attock,11/2/2023,202.2356452
Attock,11/3/2023,179.1702592
Attock,11/4/2023,136.5189224
Attock,11/5/2023,205.5857364
Attock,11/6/2023,192.4182808
Attock,11/7/2023,269.6252754
Attock,11/8/2023,227.0117178
Attock,11/9/2023,323.4309521
Attock,11/10/2023,207.3803022
Attock,11/11/2023,163.0736001
Attock,11/12/2023,205.3842492
Attock,11/13/2023,255.9762726
Attock,11/14/2023,174.6742935
Attock,11/15/2023,193.9846148
Attock,11/16/2023,264.7585574
Attock,11/17/2023,233.0572491
Attock,11/18/2023,277.9058737
Attock,11/19/2023,203.4588831
Attock,11/20/2023,282.6454021
Attock,11/21/2023,214.6158848
Attock,11/22/2023,282.045126
Attock,11/23/2023,272.5638965
Attock,11/24/2023,166.9490262
Attock,11/25/2023,345.0127645
Attock,11/26/2023,355.2755518
Attock,11/27/2023,308.0802564
Attock,11/28/2023,333.8508967
Attock,11/29/2023,201.6574654
Attock,11/30/2023,127.4544332
Attock,12/1/2023,180.5323456
Attock,12/2/2023,190.3481087
Attock,12/3/2023,179.3709593
Attock,12/4/2023,263.7617624
Attock,12/5/2023,234.2767253
Attock,12/6/2023,269.3992538
Attock,12/7/2023,313.6661971
Attock,12/8/2023,269.8947353
Attock,12/9/2023,305.5297587
Attock,12/10/2023,198.4742881
Attock,12/11/2023,276.3982203
Attock,12/12/2023,312.3177872
Attock,12/13/2023,312.221002
Attock,12/14/2023,323.4011204
Attock,12/15/2023,375.3848691
Attock,12/16/2023,304.7383245
Attock,12/17/2023,185.5485215
Attock,12/18/2023,241.2511907
Attock,12/19/2023,207.9155868
Attock,12/20/2023,283.5809383
Attock,12/21/2023,267.4639263
Attock,12/22/2023,369.7033696
Attock,12/23/2023,240.4238002
Attock,12/24/2023,283.4264888
Attock,12/25/2023,353.1682659
Attock,12/26/2023,400.4922904
Attock,12/27/2023,305.4235303
Attock,12/28/2023,342.237367
Attock,12/29/2023,375.3794832
Attock,12/30/2023,430.4853175
Attock,12/31/2023,480.2145171
Attock,1/1/2024,354.0207767
Attock,1/2/2024,365.8012346
Attock,1/3/2024,441.5006111
Attock,1/4/2024,441.0677339
Attock,1/5/2024,436.60566
Attock,1/6/2024,448.6361045
Attock,1/7/2024,460.8786873
Attock,1/8/2024,407.5234603
Attock,1/9/2024,369.7895205
Attock,1/10/2024,337.3175563
Attock,1/11/2024,342.3380513
Attock,1/12/2024,538.8464982
Attock,1/13/2024,446.6251637
