District,date,Vehicle,Industry,Residential,Misc,Construction,Agriculture,Sum_of_Sources,Vehicle%,Industry%,Residential%,Misc%,Construction%,Agriculture%
Khushab,11/25/2024 0:00,133.0550004,66.97500033,29.88000016,16.22000046,15.34500046,284.1250015,545.6000032,24.38691341,12.27547653,5.476539587,2.972873967,2.812500067,52.07569644
Khushab,11/25/2024 1:00,139.7100001,69.34000015,31.21500006,16.17000022,15.28500023,302.1800007,573.9000015,24.34396232,12.08224429,5.439100884,2.817564066,2.663356018,52.65377242
Khushab,11/25/2024 2:00,149.5299999,73.62,33.445,17.36000011,16.45500011,328.2900001,618.7000003,24.16841763,11.89914336,5.405689347,2.80588332,2.659608875,53.06125747
Khushab,11/25/2024 3:00,157.8750002,78.32500017,35.40000007,18.61500022,17.68500023,342.9000008,650.8000016,24.25860476,12.03518746,5.439459125,2.86032578,2.717424736,52.68899814
Khushab,11/25/2024 4:00,161.6899998,82.1599998,35.9349999,17.45999966,16.38499966,327.0699991,640.6999979,25.23646018,12.82347434,5.608709226,2.725144329,2.557359093,51.04885284
Khushab,11/25/2024 5:00,163.3349998,85.73499985,35.85499992,15.36499977,14.13999977,296.6699993,611.0999985,26.72803146,14.02961873,5.867288498,2.514318411,2.31386022,48.54688268
Khushab,11/25/2024 6:00,162.6150002,87.54500016,35.28000008,13.33500023,11.98500023,267.8400007,578.6000016,28.10490835,15.13048737,6.097476665,2.304701036,2.071379225,46.29104735
Khushab,11/25/2024 7:00,158.2599998,86.62999983,33.99499989,11.47499981,10.15499983,242.5849994,543.0999985,29.14012156,15.95102192,6.259436564,2.112870529,1.869821369,44.66672805
Khushab,11/25/2024 8:00,152.2500001,84.54000009,32.50500003,10.45500016,9.195000172,221.7550005,510.700001,29.81202267,16.55374974,6.364793414,2.047190159,1.800469973,43.42177405
Khushab,11/25/2024 9:00,148.4500001,82.69000009,31.53000003,9.430000162,8.320000172,211.7800005,492.200001,30.16050381,16.80008125,6.405932541,1.91588788,1.6903698,43.02722472
