ID,Districts,Veh_CO_Formula,Veh_Dust_Formula,Veh_NO2_Formula,Veh_O3_Formula,Veh_PM10_Formula,Veh_PM2.5_Formula,Veh_SO2_Formula,Ind_CO_Formula,Ind_Dust_Formula,Ind_NO2_Formula,Ind_O3_Formula,Ind_PM10_Formula,Ind_PM2.5_Formula,Ind_SO2_Formula,Res_CO_Formula,Res_Dust_Formula,Res_NO2_Formula,Res_O3_Formula,Res_PM10_Formula,Res_PM2.5_Formula,Res_SO2_Formula,Misc_CO_Formula,Misc_Dust_Formula,Misc_NO2_Formula,Misc_O3_Formula,Misc_PM10_Formula,Misc_PM2.5_Formula,Misc_SO2_Formula,Cons_CO_Formula,Cons_Dust_Formula,Cons_NO2_Formula,Cons_O3_Formula,Cons_PM10_Formula,Cons_PM2.5_Formula,Cons_SO2_Formula,Agr_CO_Formula,Agr_Dust_Formula,Agr_NO2_Formula,Agr_O3_Formula,Agr_PM10_Formula,Agr_PM2.5_Formula,Agr_SO2_Formula
1,Attock,0.35,0,0.35,0.5,0.1,0.1,0.4,0.1,0.1,0.15,0.25,0.1,0.1,0.1,0.05,0,0.05,0.15,0.05,0.05,0.15,0,0.3,0,0,0.2,0.2,0,0,0.2,0,0,0.1,0.1,0,0.5,0.4,0.45,0.1,0.45,0.45,0.35
2,Bahawalnagar,0.25,0,0.25,0.5,0.1,0.1,0.3,0.15,0.1,0.15,0.25,0.15,0.15,0.1,0.05,0,0.05,0.15,0.05,0.05,0.15,0,0.2,0,0,0.05,0.05,0,0,0.2,0,0,0.1,0.1,0,0.55,0.5,0.55,0.1,0.55,0.55,0.45
3,Bahawalpur,0.2,0,0.2,0.5,0.1,0.1,0.2,0.1,0,0.1,0.25,0.2,0.2,0.1,0.05,0,0.05,0.15,0.05,0.05,0.2,0,0.2,0,0,0.05,0.05,0,0,0.1,0,0,0.1,0.1,0,0.65,0.7,0.65,0.1,0.5,0.5,0.5
4,Bhakkar,0.2,0,0.2,0.5,0.1,0.1,0.3,0.1,0,0.1,0.25,0.1,0.1,0.1,0.05,0,0.05,0.15,0.05,0.05,0.15,0,0.2,0,0,0.1,0.1,0,0,0.2,0,0,0.15,0.15,0,0.65,0.6,0.65,0.1,0.5,0.5,0.45
5,Chakwal,0.4,0,0.35,0.5,0.1,0.1,0.4,0.1,0,0.1,0.25,0.1,0.1,0.1,0.1,0,0.1,0.15,0.05,0.05,0.2,0.1,0.3,0.1,0,0.2,0.2,0.1,0,0.3,0,0,0.1,0.1,0,0.3,0.4,0.35,0.1,0.45,0.45,0.2
6,Chiniot,0.3,0,0.3,0.5,0.15,0.15,0.35,0.2,0.1,0.2,0.25,0.25,0.25,0.2,0.05,0,0.05,0.15,0.05,0.05,0.15,0,0.2,0,0,0.05,0.05,0,0,0.2,0,0,0.1,0.1,0,0.45,0.5,0.45,0.1,0.4,0.4,0.3
7,Dera Ghazi Khan,0.25,0,0.25,0.5,0.1,0.1,0.3,0.1,0.05,0.15,0.25,0.1,0.1,0.1,0.05,0,0.05,0.15,0.05,0.05,0.15,0,0.4,0,0,0.3,0.3,0,0,0.15,0,0,0.1,0.1,0,0.6,0.4,0.55,0.1,0.35,0.35,0.45
8,Faisalabad,0.5,0,0.5,0.5,0.2,0.25,0.6,0.3,0,0.3,0.25,0.5,0.45,0.15,0,0,0.05,0.15,0.05,0.05,0.2,0,0.1,0,0,0.01,0.01,0.01,0,0.4,0,0,0.1,0.1,0,0.2,0.5,0.15,0.1,0.14,0.14,0.04
9,Gujranwala,0.55,0,0.55,0.5,0.25,0.25,0.5,0.2,0.1,0.2,0.25,0.45,0.45,0.15,0.1,0,0.1,0.15,0.05,0.05,0.2,0,0.2,0,0,0.02,0.02,0.01,0,0.3,0,0,0.1,0.1,0,0.15,0.4,0.15,0.1,0.13,0.13,0.14
10,Gujrat,0.35,0,0.35,0.45,0.15,0.15,0.3,0.25,0.2,0.25,0.35,0.4,0.4,0.3,0.1,0,0.1,0.1,0.05,0.05,0.15,0,0.3,0,0,0.1,0.1,0.05,0,0.2,0,0,0.15,0.15,0,0.3,0.3,0.3,0.1,0.15,0.15,0.2
