date,hour,District,AQI
11/7/2024,0:00,Attock,169.505
11/7/2024,0:00,Bahawalnagar,167.99
11/7/2024,0:00,Bahawalpur,180.7
11/7/2024,0:00,Bhakkar,167.38
11/7/2024,0:00,Chakwal,136.85
11/7/2024,0:00,Chiniot,277.36
11/7/2024,0:00,Dera Ghazi Khan,148.595
11/7/2024,0:00,Faisalabad,213.565
11/7/2024,0:00,Gujranwala,201.095
11/7/2024,0:00,Gujrat,160.745
11/7/2024,0:00,Hafizabad,275.16
11/7/2024,0:00,Jhang,223.765
11/7/2024,0:00,Jhelum,156.205
11/7/2024,0:00,Kasur,232.96
11/7/2024,0:00,Khanewal,193.295
11/7/2024,0:00,Khushab,239.42
11/7/2024,0:00,Lahore,247.08
11/7/2024,0:00,Layyah,188.81
11/7/2024,0:00,Lodhran,191.32
11/7/2024,0:00,Mandi Bahuddin,237.505
11/7/2024,0:00,Mianwali,161.57
11/7/2024,0:00,Multan,201.285
11/7/2024,0:00,Muzaffargarh,200.26
11/7/2024,0:00,Nankana Sahib,216.76
11/7/2024,0:00,Narowal,147.595
11/7/2024,0:00,Okara,194.27
11/7/2024,0:00,Pakpattan,159.395
11/7/2024,0:00,Rahim Yar Khan,145.73
11/7/2024,0:00,Rajanpur,89.95
11/7/2024,0:00,Rawalpindi,151.69
11/7/2024,0:00,Sahiwal,171.44
11/7/2024,0:00,Sargodha,283.115
11/7/2024,0:00,Sheikhupura,534.43
11/7/2024,0:00,Sialkot,171.055
11/7/2024,0:00,Toba Tek Singh,175.105
11/7/2024,0:00,Vehari,191.195
11/7/2024,10:00,Attock,162.065
11/7/2024,10:00,Bahawalnagar,116.79
11/7/2024,10:00,Bahawalpur,93.865
11/7/2024,10:00,Bhakkar,137.38
11/7/2024,10:00,Chakwal,168.75
11/7/2024,10:00,Chiniot,178.86
11/7/2024,10:00,Dera Ghazi Khan,162.505
11/7/2024,10:00,Faisalabad,167.375
11/7/2024,10:00,Gujranwala,200.315
11/7/2024,10:00,Gujrat,177.965
11/7/2024,10:00,Hafizabad,203.36
11/7/2024,10:00,Jhang,132.775
11/7/2024,10:00,Jhelum,175.985
11/7/2024,10:00,Kasur,157.445
11/7/2024,10:00,Khanewal,102.015
11/7/2024,10:00,Khushab,168.935
11/7/2024,10:00,Lahore,236.435
11/7/2024,10:00,Layyah,134.33
11/7/2024,10:00,Lodhran,85.065
11/7/2024,10:00,Mandi Bahuddin,198.84
11/7/2024,10:00,Mianwali,145.34
11/7/2024,10:00,Multan,113.59
11/7/2024,10:00,Muzaffargarh,133.645
11/7/2024,10:00,Nankana Sahib,164.345
11/7/2024,10:00,Narowal,165.075
11/7/2024,10:00,Okara,139.925
11/7/2024,10:00,Pakpattan,114.785
11/7/2024,10:00,Rahim Yar Khan,79.625
11/7/2024,10:00,Rajanpur,124.615
11/7/2024,10:00,Rawalpindi,237.91
11/7/2024,10:00,Sahiwal,118.72
11/7/2024,10:00,Sargodha,189.58
11/7/2024,10:00,Sheikhupura,227.235
11/7/2024,10:00,Sialkot,185.625
11/7/2024,10:00,Toba Tek Singh,124.455
11/7/2024,10:00,Vehari,92.865
11/7/2024,11:00,Attock,180.93
11/7/2024,11:00,Bahawalnagar,114.975
11/7/2024,11:00,Bahawalpur,96.315
11/7/2024,11:00,Bhakkar,132.65
11/7/2024,11:00,Chakwal,173.815
11/7/2024,11:00,Chiniot,182.865
11/7/2024,11:00,Dera Ghazi Khan,174.92
11/7/2024,11:00,Faisalabad,194.325
11/7/2024,11:00,Gujranwala,209.42
11/7/2024,11:00,Gujrat,178.67
11/7/2024,11:00,Hafizabad,206.005
11/7/2024,11:00,Jhang,138.875
11/7/2024,11:00,Jhelum,173.295
11/7/2024,11:00,Kasur,161.9
11/7/2024,11:00,Khanewal,102.72
