District,Date,Min,Max
Attock,10/1/2023,29.325,142.8511465
Attock,10/2/2023,38.28,97.90335488
Attock,10/3/2023,46.485,191.3440524
Attock,10/4/2023,44.495,118.3717491
Attock,10/5/2023,42.37,182.9106669
Attock,10/6/2023,54.98,207.2652872
Attock,10/7/2023,81.515,298.172548
Attock,10/8/2023,65.355,180.4306801
Attock,10/9/2023,54.555,105.1133678
Attock,10/10/2023,50.825,101.2126532
Attock,10/11/2023,37.92,258.2456317
Attock,10/12/2023,50.265,160.7414059
Attock,10/13/2023,58.135,114.666429
Attock,10/14/2023,61.98,95.69485982
Attock,10/15/2023,41.74,110.3656724
Attock,10/16/2023,36.29,36.6024684
Attock,10/17/2023,50.275,68.21111298
Attock,10/18/2023,33.29,152.7839443
Attock,10/19/2023,34.7,230.3272745
Attock,10/20/2023,37.53,126.0463051
Attock,10/21/2023,40.035,249.8454787
Attock,10/22/2023,43.895,241.0761552
Attock,10/23/2023,41.785,194.4314508
Attock,10/24/2023,43.425,205.2280001
Attock,10/25/2023,41.33,156.8437231
Attock,10/26/2023,33.16,154.1513811
Attock,10/27/2023,47.175,153.2670881
Attock,10/28/2023,56.435,231.5963722
Attock,10/29/2023,61.17,175.3450594
Attock,10/30/2023,74.055,178.7932321
Attock,10/31/2023,92.595,212.484467
Attock,11/1/2023,100.15,208.5658288
Attock,11/2/2023,79.26,199.9180082
Attock,11/3/2023,56.54,119.5371727
Attock,11/4/2023,50.295,146.8169765
Attock,11/5/2023,65.5,234.4571997
Attock,11/6/2023,76.35,203.1693975
Attock,11/7/2023,93.56,253.3675913
Attock,11/8/2023,64.15,243.177931
Attock,11/9/2023,60.47,329.6107639
Attock,11/10/2023,64.27,220.6833498
Attock,11/11/2023,49.495,157.2968412
Attock,11/12/2023,51.8,199.9641821
Attock,11/13/2023,62.59,227.6507721
Attock,11/14/2023,56.99,192.0579259
Attock,11/15/2023,48.025,182.2167099
Attock,11/16/2023,64.58,257.1617701
Attock,11/17/2023,60.97,225.1042863
Attock,11/18/2023,66.905,282.3945181
Attock,11/19/2023,65.645,213.4395807
Attock,11/20/2023,50.065,288.4391269
Attock,11/21/2023,53.025,231.6592979
Attock,11/22/2023,43.82,289.9688223
Attock,11/23/2023,76.465,284.5808796
Attock,11/24/2023,53.955,193.4553727
Attock,11/25/2023,71.76,331.9485515
Attock,11/26/2023,84.08,349.8188254
Attock,11/27/2023,75.82,294.9517671
Attock,11/28/2023,62.18,299.80874
Attock,11/29/2023,57.725,219.7975803
Attock,11/30/2023,49.94,113.4630093
Attock,12/1/2023,52.415,178.9524362
Attock,12/2/2023,55.955,205.6442392
Attock,12/3/2023,68.535,128.4511066
