datetime,District,Carbon_monoxide,Dust,Nitrogen_dioxide,Ozone,Pm_10,Pm_25,Sulphur_dioxide,Pm25_aqi,Pm10_aqi,Dust_aqi,O3_aqi,Co_aqi,No2_aqi,So2_aqi,Final_aqi,Date
2024-09-30,Attock,306.043636,3.9960980200000003,1.90365002,99.012164,30.589693,28.6295118,306.043636,85.76163425751074,28.323789814814813,3.70009075925926,167.35130805902202,151.0,1.795896245283019,199.335882220339,86.40009720399999,2024-09-30
2024-10-01,Attock,336.8999504166666,2.83572555,14.877725754166667,107.08030845833333,29.128375291666668,23.73008954166667,336.8999504166666,75.45812822067239,26.970717862654322,2.6256718055555557,173.3894532316505,151.0,14.035590334119497,201.0,93.67608227812501,2024-10-01
2024-10-02,Attock,335.83482666666663,1.5327401583333333,15.6599518,108.16671537500001,29.759758708333333,14.575075041666667,335.83482666666663,56.205093435264665,27.555332137345676,1.419203850308642,175.33408486606012,151.0,14.773539433962263,201.0,91.49297508625,2024-10-02
2024-10-03,Attock,336.34660916666667,1.2718387083333333,15.468751970833333,108.48480445833333,29.935719666666667,12.654885895833333,336.34660916666667,52.166927420422034,27.718258950617283,1.1776284336419753,175.9919156511058,151.0,14.593162236635221,201.0,91.14935840083332,2024-10-03
2024-10-04,Attock,336.3861058333334,1.22228535,15.2691247625,108.73596737500002,29.959081333333334,12.442876020833333,336.3861058333334,51.7210697433834,27.73989012345679,1.1317456944444444,176.24062236332279,151.0,14.404834681603774,201.0,91.10279022458333,2024-10-04
2024-10-05,Attock,336.39090541666667,1.2131878083333334,14.857224379166666,109.05193575,29.96157654166667,12.375144541666666,336.39090541666667,51.57863015200286,27.74220050154321,1.1233220447530863,176.8444025883383,151.0,14.016249414308177,201.0,91.05679797645836,2024-10-05
2024-10-06,Attock,336.3915004166667,1.2116589916666667,14.496404254166668,109.20675075000001,29.961778083333332,12.350838354166667,336.3915004166667,51.527514135371966,27.74238711419753,1.121906473765432,177.41631799559536,151.0,13.675853069968554,201.0,91.01217285541667,2024-10-06
2024-10-07,Attock,336.39158375,1.2114321791666667,14.095134895833333,109.44590679166667,29.961791083333335,12.342082750000001,336.39158375,51.509101062231764,27.742399151234565,1.1216964621913579,177.85456250250715,151.0,13.29729707154088,201.0,90.97371773083334,2024-10-07
2024-10-08,Attock,336.39158,1.2114050208333333,13.7002358,109.56219075,29.961795749999997,12.3389288125,336.39158,51.50246831813305,27.74240347222222,1.1216713155864197,178.48257844549585,151.0,12.924750754716982,201.0,90.92532183666667,2024-10-08
2024-10-09,Attock,336.39157416666666,1.2114022833333336,13.37928275,109.773055125,29.961795,12.337794125,336.39157416666666,51.50008206545064,27.74240277777778,1.1216687808641974,178.91406865596616,151.0,12.621964858490566,201.0,90.89798015375,2024-10-09
2024-10-10,Attock,336.39157708333335,1.2113997875,13.147039233333333,109.89327924999999,29.961794666666666,12.337387541666667,336.39157708333335,51.49922701895565,27.7424024691358,1.1216664699074073,179.38623036520778,151.0,12.402867201257862,201.0,90.875064768125,2024-10-10
2024-10-11,Attock,336.39156499999996,1.2113993583333333,13.200721654166665,109.97021662499999,29.961796583333335,12.337235875,336.39156499999996,51.498908063304725,27.742404243827163,1.121666072530864,179.59240373419962,151.0,12.453510994496854,201.0,90.89077099312499,2024-10-11
2024-10-12,Attock,336.3915504166667,1.2113995166666667,13.66019625,110.05357458333333,29.961794333333334,12.337181583333333,336.3915504166667,51.498793887696706,27.74240216049383,1.1216662191358024,179.92924783506592,151.0,12.886977594339621,201.0,90.96801093416667,2024-10-12
2024-10-13,Attock,336.3915895833333,1.2114002625,14.558375245833334,110.041213625,29.961794333333334,12.337163083333332,336.3915895833333,51.49875498211731,27.74240216049383,1.121666909722222,179.96297410801915,151.0,13.734316269654087,201.0,91.10150493333333,2024-10-13
2024-10-14,Attock,336.3915725,1.2113997875,15.242653975000001,110.01700441666667,29.961795166666665,12.3371585,336.3915725,51.49874534334764,27.742402932098766,1.1216664699074073,179.79111458881425,151.0,14.37986224056604,201.0,91.20172144395833,2024-10-14
2024-10-15,Attock,336.39155999999997,1.2113998333333333,15.4503325125,109.950526125,29.961795499999997,12.337159833333333,336.39155999999997,51.49874814735336,27.742403240740742,1.121666512345679,179.6714640769908,151.0,14.575785389150944,201.0,91.22622331437499,2024-10-15
2024-10-16,Attock,336.39157416666666,1.2114011666666666,15.468880683333333,109.894465625,29.96179508333333,12.337159083333333,336.39157416666666,51.49874657010014,27.742402854938273,1.1216677469135803,179.3065084821575,151.0,14.593283663522014,201.0,91.22340209833334,2024-10-16
2024-10-17,Attock,336.3915729166667,1.211400775,15.35809095,109.82201579166667,29.96179508333333,12.337157750000001,336.3915729166667,51.498743766094414,27.742402854938273,1.1216673842592593,179.27139034204458,151.0,14.488765047169812,201.0,91.19953805208333,2024-10-17
2024-10-18,Attock,336.39156916666667,1.2114001875,14.972249633333334,109.76002045833333,29.961795249999998,12.337160583333334,336.39156916666667,51.498749724606576,27.74240300925926,1.1216668402777776,178.89301741143152,151.0,14.124763805031447,201.0,91.135462291875,2024-10-18
2024-10-19,Attock,336.3915729166667,1.2114006958333334,14.584619883333334,109.67365008333333,29.96179616666667,12.337161166666666,336.3915729166667,51.498750951359085,27.74240385802469,1.12166731095679,178.78948316381732,151.0,13.759075361635219,201.0,91.06868194229166,2024-10-19
2024-10-20,Attock,336.391595,1.2114000708333335,14.14939005,109.62415262500001,29.961796083333336,12.337158458333334,336.391595,51.49874525572246,27.742403780864198,1.1216667322530864,178.55316062168876,151.0,13.348481179245283,201.0,90.99845140895833,2024-10-20
2024-10-21,Attock,336.39156833333334,1.2114001875,13.714918420833333,109.52789504166667,29.961794916666666,12.337149541666667,336.39156833333334,51.49872650393419,27.742402700617287,1.1216668402777776,178.25373954321887,151.0,12.938602283805032,201.0,90.92364705791665,2024-10-21
2024-10-22,Attock,336.39157625,1.2114008958333333,13.375701837500001,109.46363258333334,29.961795416666664,12.337151125,336.39157625,51.49872983369099,27.74240316358025,1.1216674961419753,178.00880632742007,151.0,12.618586639150942,201.0,90.86634046416667,2024-10-22
2024-10-23,Attock,336.3915504166667,1.2113995958333332,13.129312133333334,109.30461704166667,29.961794833333332,12.337151958333335,336.3915504166667,51.498731586194566,27.742402623456794,1.1216662924382714,177.4560413650087,151.0,12.38614352201258,201.0,90.81347528520833,2024-10-23
2024-10-24,Attock,336.39163916666666,1.2113992291666666,13.178407883333334,109.16679925,29.961795749999997,12.337151458333333,336.39163916666666,51.49873053469241,27.74240347222222,1.1216659529320987,177.23622811334766,151.0,12.432460267295598,201.0,90.807075704375,2024-10-24
2024-10-25,Attock,336.39158249999997,1.2113991166666667,13.646471429166667,108.98709208333334,29.96179591666667,12.337151458333333,336.39158249999997,51.49873053469241,27.74240362654321,1.121665848765432,176.67927301441148,151.0,12.874029650157233,201.0,90.85930322229166,2024-10-25
2024-10-26,Attock,336.39155625,1.2114009291666668,14.5569944,108.79692170833333,29.96179675,12.337150833333332,336.39155625,51.498729220314736,27.74240439814815,1.121667527006173,176.31952399320176,151.0,13.733013584905661,201.0,90.97685952312501,2024-10-26
2024-10-27,Attock,336.3915754166667,1.2113993583333333,15.2454774125,108.62319525,29.961795666666664,12.337151708333332,336.3915754166667,51.4987310604435,27.74240339506173,1.121666072530864,176.27543667385996,151.0,14.382525860849057,201.0,91.06276303187501,2024-10-27
2024-10-28,Attock,336.39157625,1.2113995541666667,15.451961716666666,108.48369483333333,29.961797750000002,12.337151541666666,336.39157625,51.49873070994278,27.74240532407407,1.1216662538580247,176.01592727484294,151.0,14.577322374213837,201.0,91.07978629145833,2024-10-28
2024-10-29,Attock,336.39159125,1.2114006541666666,15.469434754166668,108.35334033333334,29.96179591666667,12.337150666666666,336.39159125,51.498728869814016,27.742403626543208,1.1216672723765433,176.06802767964416,151.0,14.593806371855345,201.0,91.06937417500001,2024-10-29
2024-10-30,Attock,336.39154666666667,1.2114009333333333,15.3580951875,108.17361975,29.961794833333332,12.337148833333332,336.39154666666667,51.49872501430615,27.742402623456794,1.1216675308641975,175.6527652408548,151.0,14.48876904481132,201.0,91.03469154979167,2024-10-30
2024-10-31,Attock,336.3915625,1.2114007291666666,14.972149354166667,108.05262491666667,29.961795666666664,12.337150791666666,336.3915625,51.498729132689554,27.74240339506173,1.1216673418209877,175.5865287894768,151.0,14.124669202044025,201.0,90.96470404583334,2024-10-31
2024-11-01,Attock,336.3915925,1.2114003041666666,14.584570804166667,107.93299183333333,29.961795749999997,12.337149916666666,336.3915925,51.4987272925608,27.74240347222222,1.121666948302469,175.47825907159077,151.0,13.759029060534592,201.0,90.89460973583333,2024-11-01
2024-11-02,Attock,336.3915641666667,1.2113995958333332,14.149372179166667,107.86804466666666,29.96179583333333,12.337150999999999,336.3915641666667,51.49872957081545,27.742403549382715,1.1216662924382714,175.3538972626493,151.0,13.348464319968555,201.0,90.82282981499999,2024-11-02
2024-11-03,Attock,336.391615,1.2114004666666667,13.7149128,107.799398125,29.961795916666663,12.337150375,336.391615,51.49872825643777,27.74240362654321,1.121667098765432,175.37672695987308,151.0,12.938596981132074,201.0,90.75080632875,2024-11-03
2024-11-04,Attock,336.39155458333335,1.2114012458333334,13.375694995833333,107.742041375,29.961795166666665,12.337150375,336.39155458333335,51.49872825643777,27.742402932098766,1.1216678202160495,175.22445668086038,151.0,12.61858018474843,201.0,90.69417575125,2024-11-04
2024-11-05,Attock,336.3915858333333,1.2114005416666667,13.129304858333334,107.75583216666666,29.961795249999998,12.3371515,336.3915858333333,51.498730622317595,27.74240300925926,1.1216671682098764,175.46003898635684,151.0,12.38613665880503,201.0,90.65860282666667,2024-11-05
2024-11-06,Attock,336.3915733333333,1.2113997541666668,13.178395520833334,107.62582891666666,29.961794833333332,12.337152000000001,336.3915733333333,51.49873167381975,27.742402623456787,1.1216664390432098,175.0861202851904,151.0,12.432448604559747,201.0,90.65296358249999,2024-11-06
2024-11-07,Attock,336.39157666666665,1.2114013958333334,13.646461025,107.62405104166668,29.961795249999998,12.337151791666665,336.39157666666665,51.498731235693846,27.74240300925926,1.1216679591049383,175.15642339794235,151.0,12.87401983490566,201.0,90.72299642145833,2024-11-07
2024-11-08,Attock,336.39157041666664,1.2114003,14.556989970833333,107.56463824999999,29.96179533333333,12.337152000000001,336.39157041666664,51.49873167381974,27.742403086419756,1.1216669444444445,175.0666496329103,151.0,13.733009406446541,201.0,90.85363325229167,2024-11-08
2024-11-09,Attock,336.39158791666665,1.2114002666666666,15.245467779166667,107.58648845833333,29.961794833333332,12.337149333333334,336.39158791666665,51.49872606580829,27.742402623456787,1.1216669135802468,174.97249880235006,151.0,14.382516772798743,201.0,90.95909265104166,2024-11-09
2024-11-10,Attock,336.39157041666664,1.2114005833333332,15.451951874999999,107.637053,29.961794416666667,12.337150958333332,336.39157041666664,51.49872948319027,27.74240223765432,1.1216672067901234,175.17972680875016,151.0,14.577313089622642,201.0,90.9951185375,2024-11-10
2024-11-11,Attock,336.3916179166667,1.2114000291666667,15.469432695833333,107.68140541666666,29.961795,12.337151749999999,336.3916179166667,51.498731148068664,27.74240277777778,1.1216666936728394,175.15190881744743,151.0,14.593804430031446,201.0,91.00218571833334,2024-11-11
2024-11-12,Attock,336.39157374999996,1.2114011583333333,15.358089462499999,107.92928595833332,29.961795166666665,12.337152000000001,336.39157374999996,51.49873167381974,27.742402932098766,1.121667739197531,175.66841812623957,151.0,14.488763643867925,201.0,91.01026361479167,2024-11-12
2024-11-13,Attock,336.39155999999997,1.2114007,14.972139416666666,107.95714366666668,29.961795416666664,12.337150874999999,336.39155999999997,51.49872930793992,27.742403163580246,1.1216673148148149,175.449581963329,151.0,14.124659827044026,201.0,90.95515388708333,2024-11-13
2024-11-14,Attock,336.3916070833333,1.2113995166666667,14.584563366666666,108.23999745833333,29.961796000000003,12.337151291666666,336.3916070833333,51.49873018419171,27.742403703703705,1.1216662191358024,175.81893923439563,151.0,13.759022044025158,201.0,90.92531246624999,2024-11-14
2024-11-15,Attock,336.39157625,1.2113997125,14.149369633333334,108.40262983333334,29.961795249999998,12.337151916666665,336.39157625,51.498731498569384,27.74240300925926,1.1216664004629628,175.93126092000747,151.0,13.348461918238995,201.0,90.876290455625,2024-11-15
2024-11-16,Attock,336.39156291666666,1.2114010124999999,13.714916816666667,108.69766904166666,29.96179558333333,12.33715,336.39156291666666,51.49872746781116,27.742403317901235,1.1216676041666667,176.17081025263158,151.0,12.938600770440251,201.0,90.84062345645833,2024-11-16
2024-11-17,Attock,336.39155750000003,1.2114006166666667,13.375697991666668,108.93413758333334,29.961795416666664,12.337149666666667,336.39155750000003,51.49872676680973,27.742403163580246,1.1216672376543209,176.5358132463699,151.0,12.618583011006288,201.0,90.81338625875001,2024-11-17
2024-11-18,Attock,336.39159125,1.2113999916666667,13.129306683333333,109.15935875000001,29.96179533333333,12.337151083333332,336.39159125,51.498729746065806,27.742403086419756,1.1216666589506172,177.1981708135032,151.0,12.386138380503146,201.0,90.79895673124999,2024-11-18
2024-11-19,Attock,336.39158541666666,1.2113998666666668,13.178395670833334,109.45450704166666,29.961795249999998,12.337151708333332,336.39158541666666,51.4987310604435,27.74240300925926,1.1216665432098765,177.89038566042987,151.0,12.432448746069182,201.0,90.83583387104166,2024-11-19
2024-11-20,Attock,336.391575,1.2114015875,13.646456841666668,109.55526787500001,29.96179583333333,12.337150958333332,336.391575,51.49872948319027,27.742403549382715,1.1216681365740742,178.45668354851935,151.0,12.87401588836478,201.0,90.91611709104167,2024-11-20
2024-11-21,Attock,336.39156333333335,1.2113998291666668,14.556983645833334,109.74547683333333,29.961795249999998,12.337150708333333,336.39156333333335,51.4987289574392,27.74240300925926,1.1216665084876543,178.90150812419122,151.0,13.733003439465408,201.0,91.07171437791668,2024-11-21
2024-11-22,Attock,336.39159083333334,1.2114009333333333,15.245475020833332,109.83395279166666,29.961795,12.337150041666666,336.39159083333334,51.49872755543634,27.74240277777778,1.1216675308641975,179.28652753561963,151.0,14.382523604559749,201.0,91.18384100604167,2024-11-22
2024-11-23,Attock,336.39156958333336,1.2113994375000001,15.451971137500001,109.96169587499999,29.961795416666664,12.337150833333332,336.39156958333336,51.498729220314736,27.74240316358025,1.1216661458333332,179.5343320255677,151.0,14.577331261792454,201.0,91.22758570916666,2024-11-23
