District,date,Aqi
Attock,2024-08-30,67.34117
Attock,2024-08-31,52.175205
Attock,2024-09-01,52.764244
Attock,2024-09-02,53.16145
Attock,2024-09-03,53.759235
Attock,2024-09-04,53.87232
Attock,2024-09-05,55.020935
Attock,2024-09-06,55.778336
Attock,2024-09-07,55.83066
Attock,2024-09-08,58.02546
Attock,2024-09-09,64.00696
Attock,2024-09-10,64.5765
Attock,2024-09-11,65.18668
Attock,2024-09-12,65.26653
Attock,2024-09-13,65.4691
Attock,2024-09-14,64.85172
Attock,2024-09-15,64.759766
Attock,2024-09-16,64.69036
Attock,2024-09-17,64.50143
Attock,2024-09-18,63.996708
Attock,2024-09-19,63.195206
Attock,2024-09-20,63.508743
Attock,2024-09-21,63.79028
Attock,2024-09-22,64.15574
Attock,2024-09-23,64.20042
Attock,2024-09-24,64.25803
Attock,2024-09-25,64.58467
Attock,2024-09-26,64.31909
Attock,2024-09-27,63.999767
Attock,2024-09-28,64.87522
Attock,2024-09-29,65.09948
Attock,2024-09-30,66.25094
Attock,2024-10-01,65.9874
Attock,2024-10-02,64.75017
Attock,2024-10-03,63.095303
Attock,2024-10-04,63.70047
Attock,2024-10-05,65.31151
Attock,2024-10-06,67.93907
Attock,2024-10-07,69.48347
Attock,2024-10-08,69.32844
Attock,2024-10-09,69.02948
Attock,2024-10-10,68.10363
Attock,2024-10-11,67.28254
Attock,2024-10-12,66.78719
Attock,2024-10-13,65.10246
Attock,2024-10-14,64.14088
Attock,2024-10-15,65.85619
Attock,2024-10-16,68.21163
Attock,2024-10-17,69.80225
Attock,2024-10-18,69.419136
Attock,2024-10-19,68.57077
Attock,2024-10-20,67.50422
Attock,2024-10-21,66.98097
Attock,2024-10-22,66.060295
Attock,2024-10-23,63.55009
Attock,2024-10-24,63.290756
Attock,2024-10-25,65.43933
Attock,2024-10-26,67.51513
Attock,2024-10-27,69.57372
Attock,2024-10-28,69.62533
Attock,2024-10-29,68.91041
Attock,2024-10-30,67.52023
Attock,2024-10-31,67.12015
Attock,2024-11-01,66.557655
Attock,2024-11-02,64.39687
Attock,2024-11-03,64.926
Attock,2024-11-04,66.592316
Attock,2024-11-05,68.90119
Attock,2024-11-06,69.786156
Attock,2024-11-07,69.25935
Attock,2024-11-08,68.78137
Attock,2024-11-09,67.34507
Attock,2024-11-10,67.14392
Attock,2024-11-11,66.67618
Attock,2024-11-12,64.78345
Attock,2024-11-13,62.870987
Attock,2024-11-14,64.44275
Attock,2024-11-15,66.071266
Attock,2024-11-16,68.41802
Attock,2024-11-17,69.77199
Attock,2024-11-18,69.35682
Attock,2024-11-19,68.91623
Attock,2024-11-20,67.90361
Attock,2024-11-21,67.106094
Attock,2024-11-22,66.43913
Attock,2024-11-23,64.99616
Attock,2024-11-24,64.224976
Attock,2024-11-25,65.81729
Attock,2024-11-26,68.046524
Attock,2024-11-27,69.79279
Bahawalnagar,2024-08-30,69.71728
Bahawalnagar,2024-08-31,74.514496
Bahawalnagar,2024-09-01,76.61769
Bahawalnagar,2024-09-02,84.19895
Bahawalnagar,2024-09-03,86.19047
Bahawalnagar,2024-09-04,87.80804
Bahawalnagar,2024-09-05,89.12568
Bahawalnagar,2024-09-06,88.863846
Bahawalnagar,2024-09-07,86.52378
Bahawalnagar,2024-09-08,84.68928
Bahawalnagar,2024-09-09,83.63291
Bahawalnagar,2024-09-10,83.78229
Bahawalnagar,2024-09-11,86.061935
Bahawalnagar,2024-09-12,88.80614
Bahawalnagar,2024-09-13,90.22722
Bahawalnagar,2024-09-14,90.96352
Bahawalnagar,2024-09-15,91.101006
Bahawalnagar,2024-09-16,90.89859
Bahawalnagar,2024-09-17,90.07142
Bahawalnagar,2024-09-18,88.46162
Bahawalnagar,2024-09-19,86.062904
Bahawalnagar,2024-09-20,85.33062
Bahawalnagar,2024-09-21,86.256256
Bahawalnagar,2024-09-22,88.41324
Bahawalnagar,2024-09-23,90.04989
Bahawalnagar,2024-09-24,90.49892
Bahawalnagar,2024-09-25,90.55599
Bahawalnagar,2024-09-26,88.81814
Bahawalnagar,2024-09-27,85.58821
Bahawalnagar,2024-09-28,86.23573
Bahawalnagar,2024-09-29,86.10397
Bahawalnagar,2024-09-30,87.707375
Bahawalnagar,2024-10-01,86.77463
Bahawalnagar,2024-10-02,85.7729
Bahawalnagar,2024-10-03,84.89875
Bahawalnagar,2024-10-04,85.2893
Bahawalnagar,2024-10-05,86.99793
Bahawalnagar,2024-10-06,88.305565
Bahawalnagar,2024-10-07,89.53645
Bahawalnagar,2024-10-08,90.29028
Bahawalnagar,2024-10-09,91.02756
Bahawalnagar,2024-10-10,91.30976
Bahawalnagar,2024-10-11,91.068634
Bahawalnagar,2024-10-12,89.57136
Bahawalnagar,2024-10-13,87.43225
Bahawalnagar,2024-10-14,85.70084
Bahawalnagar,2024-10-15,87.89233
Bahawalnagar,2024-10-16,89.3858
Bahawalnagar,2024-10-17,91.21476
Bahawalnagar,2024-10-18,91.789986
Bahawalnagar,2024-10-19,91.376396
Bahawalnagar,2024-10-20,90.92585
Bahawalnagar,2024-10-21,90.55227
Bahawalnagar,2024-10-22,89.09713
Bahawalnagar,2024-10-23,86.662544
Bahawalnagar,2024-10-24,85.060265
Bahawalnagar,2024-10-25,87.155426
Bahawalnagar,2024-10-26,88.91873
Bahawalnagar,2024-10-27,90.727104
Bahawalnagar,2024-10-28,91.78003
Bahawalnagar,2024-10-29,91.39143
Bahawalnagar,2024-10-30,91.00117
Bahawalnagar,2024-10-31,90.7992
Bahawalnagar,2024-11-01,89.50028
Bahawalnagar,2024-11-02,87.44667
Bahawalnagar,2024-11-03,86.682655
Bahawalnagar,2024-11-04,88.447685
Bahawalnagar,2024-11-05,89.709816
Bahawalnagar,2024-11-06,90.80655
Bahawalnagar,2024-11-07,90.74479
Bahawalnagar,2024-11-08,90.85442
Bahawalnagar,2024-11-09,90.70509
Bahawalnagar,2024-11-10,90.57155
Bahawalnagar,2024-11-11,89.613914
Bahawalnagar,2024-11-12,87.69866
Bahawalnagar,2024-11-13,85.095924
Bahawalnagar,2024-11-14,86.27088
Bahawalnagar,2024-11-15,88.02244
Bahawalnagar,2024-11-16,89.27752
Bahawalnagar,2024-11-17,90.43074
Bahawalnagar,2024-11-18,90.89279
Bahawalnagar,2024-11-19,91.13597
Bahawalnagar,2024-11-20,91.153366
Bahawalnagar,2024-11-21,90.985855
Bahawalnagar,2024-11-22,89.738785
Bahawalnagar,2024-11-23,87.27876
Bahawalnagar,2024-11-24,85.85563
Bahawalnagar,2024-11-25,87.84816
Bahawalnagar,2024-11-26,89.06314
Bahawalnagar,2024-11-27,90.29893
Bahawalpur,2024-08-30,60.871803
Bahawalpur,2024-08-31,60.121662
Bahawalpur,2024-09-01,64.53967
Bahawalpur,2024-09-02,67.713356
Bahawalpur,2024-09-03,70.14026
Bahawalpur,2024-09-04,71.97565
Bahawalpur,2024-09-05,73.75373
Bahawalpur,2024-09-06,75.14397
Bahawalpur,2024-09-07,72.562096
Bahawalpur,2024-09-08,72.02683
Bahawalpur,2024-09-09,73.69984
Bahawalpur,2024-09-10,74.89518
Bahawalpur,2024-09-11,75.259995
Bahawalpur,2024-09-12,77.384964
Bahawalpur,2024-09-13,78.64232
Bahawalpur,2024-09-14,79.610054
Bahawalpur,2024-09-15,79.92131
Bahawalpur,2024-09-16,79.72579
Bahawalpur,2024-09-17,79.32388
Bahawalpur,2024-09-18,78.548035
Bahawalpur,2024-09-19,76.79676
Bahawalpur,2024-09-20,76.6555
Bahawalpur,2024-09-21,76.812
Bahawalpur,2024-09-22,77.37068
Bahawalpur,2024-09-23,79.03686
Bahawalpur,2024-09-24,79.46112
Bahawalpur,2024-09-25,79.60278
Bahawalpur,2024-09-26,78.72925
Bahawalpur,2024-09-27,76.859314
Bahawalpur,2024-09-28,77.254234
Bahawalpur,2024-09-29,77.48704
Bahawalpur,2024-09-30,79.24569
Bahawalpur,2024-10-01,78.47081
Bahawalpur,2024-10-02,76.98088
Bahawalpur,2024-10-03,76.1945
Bahawalpur,2024-10-04,76.94926
Bahawalpur,2024-10-05,78.69585
Bahawalpur,2024-10-06,80.097404
Bahawalpur,2024-10-07,81.06527
Bahawalpur,2024-10-08,81.55032
Bahawalpur,2024-10-09,81.95529
Bahawalpur,2024-10-10,81.834946
Bahawalpur,2024-10-11,81.55482
Bahawalpur,2024-10-12,80.2888
Bahawalpur,2024-10-13,78.35409
Bahawalpur,2024-10-14,77.28416
Bahawalpur,2024-10-15,79.01561
Bahawalpur,2024-10-16,80.47372
Bahawalpur,2024-10-17,81.94167
Bahawalpur,2024-10-18,82.20819
Bahawalpur,2024-10-19,82.053085
