District,date,Aqi
Attock,2024-10-04,148.29468
Attock,2024-10-05,89.88833
Attock,2024-10-06,79.79408
Attock,2024-10-07,82.654915
Attock,2024-10-08,82.59813
Attock,2024-10-09,81.149925
Attock,2024-10-10,83.05497
Attock,2024-10-11,83.07596
Attock,2024-10-12,80.312744
Attock,2024-10-13,84.48683
Attock,2024-10-14,83.032776
Attock,2024-10-15,81.95574
Attock,2024-10-16,85.193535
Attock,2024-10-17,82.77959
Attock,2024-10-18,83.498726
Attock,2024-10-19,83.35586
Attock,2024-10-20,81.9023
Attock,2024-10-21,83.61086
Attock,2024-10-22,82.401886
Attock,2024-10-23,82.66704
Attock,2024-10-24,83.27191
Attock,2024-10-25,81.622025
Attock,2024-10-26,84.036255
Attock,2024-10-27,82.6593
Attock,2024-10-28,80.61439
Attock,2024-10-29,83.82155
Attock,2024-10-30,83.78818
Attock,2024-10-31,79.914345
Attock,2024-11-01,83.22763
Attock,2024-11-02,83.64477
Attock,2024-11-03,79.67379
Attock,2024-11-04,83.23269
Attock,2024-11-05,82.908554
Attock,2024-11-06,80.989586
Attock,2024-11-07,83.39317
Attock,2024-11-08,82.16447
Attock,2024-11-09,83.3653
Attock,2024-11-10,83.01827
Attock,2024-11-11,81.33893
Attock,2024-11-12,84.00932
Attock,2024-11-13,82.546974
Attock,2024-11-14,82.56606
Attock,2024-11-15,83.70797
Attock,2024-11-16,82.00932
Attock,2024-11-17,83.85151
Attock,2024-11-18,83.05944
Attock,2024-11-19,81.91086
Attock,2024-11-20,83.42391
Attock,2024-11-21,82.468956
Attock,2024-11-22,83.39942
Attock,2024-11-23,82.63061
Attock,2024-11-24,81.47482
Attock,2024-11-25,83.36625
Attock,2024-11-26,83.78959
Attock,2024-11-27,80.363
Attock,2024-11-28,82.86911
Attock,2024-11-29,83.95617
Attock,2024-11-30,79.52397
Attock,2024-12-01,83.223434
Attock,2024-12-02,83.50266
Attock,2024-12-03,80.39238
Attock,2024-12-04,83.77952
Attock,2024-12-05,82.922356
Attock,2024-12-06,82.6968
Attock,2024-12-07,83.236496
Attock,2024-12-08,82.19518
Attock,2024-12-09,83.48827
Attock,2024-12-10,82.36957
Attock,2024-12-11,82.2974
Attock,2024-12-12,83.31742
Attock,2024-12-13,81.67252
Attock,2024-12-14,83.982925
Attock,2024-12-15,82.72193
Attock,2024-12-16,81.63342
Attock,2024-12-17,83.8713
Attock,2024-12-18,82.31025
Attock,2024-12-19,83.634285
Attock,2024-12-20,83.328545
Attock,2024-12-21,81.60024
Attock,2024-12-22,83.60447
Attock,2024-12-23,83.16958
Attock,2024-12-24,80.78427
Attock,2024-12-25,82.937485
Attock,2024-12-26,83.49906
Attock,2024-12-27,80.95402
