District,Time,AQI,PM10,PM2.5,Carbon_Monoxide,Nitrogen_Dioxide,Sulphur_Dioxide,Ozone,Dust
Attock,2024-11-05 00:00,172.41,76.6,53.7,1338.0,35.7,9.8,44.0,0.0
Attock,2024-11-05 01:00,174.36999999999995,77.8,54.4,1490.0,33.8,9.5,38.0,0.0
Attock,2024-11-05 02:00,197.18000000000004,83.8,58.7,1726.0,37.5,9.2,42.0,1.0
Attock,2024-11-05 03:00,208.18,85.0,59.5,1809.0,41.5,9.9,56.0,1.0
Attock,2024-11-05 04:00,190.035,86.4,60.5,1575.0,34.8,12.7,88.0,2.0
Attock,2024-11-05 05:00,172.065,90.3,63.1,1188.0,22.6,18.9,137.0,5.0
Attock,2024-11-05 06:00,161.36499999999998,88.7,61.0,1031.0,12.7,23.0,179.0,7.0
Attock,2024-11-05 07:00,149.68000000000004,89.9,59.8,902.0,6.8,21.8,196.0,8.0
Attock,2024-11-05 08:00,136.79,90.1,58.4,777.0,3.2,19.2,198.0,11.0
Attock,2024-11-05 09:00,134.94500000000002,85.2,54.4,831.0,4.9,16.7,193.0,15.0
Attock,2024-11-05 10:00,146.495,82.9,51.8,969.0,13.3,15.1,184.0,17.0
Attock,2024-11-05 11:00,166.895,87.5,51.2,1180.0,27.0,13.6,171.0,18.0
Attock,2024-11-05 12:00,206.015,104.1,66.4,1419.0,50.0,14.8,158.0,17.0
Attock,2024-11-05 13:00,243.91000000000003,117.8,75.7,1731.0,76.1,15.7,143.0,16.0
Attock,2024-11-05 14:00,284.94000000000005,131.3,85.4,2071.0,111.5,16.9,120.0,16.0
Attock,2024-11-05 15:00,307.855,139.7,91.0,2262.0,134.6,17.9,107.0,15.0
Attock,2024-11-05 16:00,301.08,143.9,94.3,2339.0,134.2,17.5,99.0,15.0
Attock,2024-11-05 17:00,295.22,140.2,93.4,2357.0,121.3,16.3,91.0,14.0
Attock,2024-11-05 18:00,281.4500000000001,134.1,88.7,2278.0,107.8,14.9,82.0,14.0
Attock,2024-11-05 19:00,251.875,136.4,90.6,2065.0,97.5,13.2,68.0,13.0
Attock,2024-11-05 20:00,241.33,136.4,91.0,1754.0,86.5,12.2,60.0,13.0
Attock,2024-11-05 21:00,227.745,135.0,90.3,1581.0,74.7,11.7,53.0,12.0
Attock,2024-11-05 22:00,206.68500000000003,130.9,87.8,1395.0,70.4,10.5,53.0,11.0
Attock,2024-11-05 23:00,183.83,128.5,86.8,1295.0,66.1,8.9,53.0,10.0
Attock,2024-11-06 00:00,176.96500000000003,119.0,80.1,1253.0,62.0,9.4,35.0,9.0
Attock,2024-11-06 01:00,181.78000000000003,115.5,78.7,1306.0,55.4,8.7,45.0,8.0
Attock,2024-11-06 02:00,200.13,116.4,79.9,1418.0,45.9,7.7,59.0,7.0
Attock,2024-11-06 03:00,217.355,127.6,87.5,1540.0,45.4,7.9,78.0,6.0
Attock,2024-11-06 04:00,213.35,131.8,90.3,1453.0,36.0,10.8,104.0,7.0
Attock,2024-11-06 05:00,195.84499999999997,124.8,85.0,1265.0,22.0,14.2,134.0,9.0
Attock,2024-11-06 06:00,173.85500000000002,107.1,72.2,1090.0,11.0,16.1,176.0,11.0
Attock,2024-11-06 07:00,156.035,96.2,63.3,954.0,5.2,15.2,193.0,14.0
Attock,2024-11-06 08:00,140.265,102.2,61.0,830.0,2.5,13.0,193.0,18.0
Attock,2024-11-06 09:00,129.395,105.0,62.4,753.0,4.3,11.5,185.0,20.0
Attock,2024-11-06 10:00,137.655,106.2,63.1,894.0,10.4,10.7,171.0,19.0
Attock,2024-11-06 11:00,170.43,106.9,63.8,1234.0,21.2,10.4,155.0,17.0
Attock,2024-11-06 12:00,200.55499999999998,104.8,63.1,1525.0,35.7,10.4,139.0,15.0
Attock,2024-11-06 13:00,225.675,108.3,65.0,1731.0,57.5,11.3,122.0,16.0
Attock,2024-11-06 14:00,246.60000000000002,110.4,65.9,1907.0,83.1,12.5,115.0,17.0
Attock,2024-11-06 15:00,268.61,110.6,68.0,2147.0,101.8,13.1,108.0,18.0
Attock,2024-11-06 16:00,277.13,109.9,71.5,2240.0,109.2,12.6,101.0,18.0
Attock,2024-11-06 17:00,273.45,109.2,70.5,2234.0,109.7,11.5,94.0,18.0
Attock,2024-11-06 18:00,260.50500000000005,108.5,67.3,2153.0,106.1,10.2,86.0,18.0
Attock,2024-11-06 19:00,236.57000000000002,106.6,64.5,1976.0,97.9,9.0,77.0,18.0
Attock,2024-11-06 20:00,205.51000000000005,104.1,65.0,1724.0,85.6,8.0,67.0,18.0
Attock,2024-11-06 21:00,195.47,100.8,65.7,1479.0,73.5,8.0,58.0,17.0
Attock,2024-11-06 22:00,188.30499999999998,97.6,65.9,1361.0,62.3,7.9,50.0,16.0
Attock,2024-11-06 23:00,182.42000000000004,97.1,65.7,1307.0,61.6,7.8,43.0,15.0
Bahawalnagar,2024-11-05 00:00,141.32000000000005,127.6,79.4,916.0,11.2,10.6,63.0,14.0
Bahawalnagar,2024-11-05 01:00,134.52,130.4,81.7,850.0,11.5,9.7,62.0,13.0
Bahawalnagar,2024-11-05 02:00,131.6,132.7,83.8,811.0,12.0,8.6,61.0,13.0
Bahawalnagar,2024-11-05 03:00,128.655,133.6,84.3,769.0,12.2,7.9,68.0,14.0
Bahawalnagar,2024-11-05 04:00,125.695,132.7,83.8,713.0,10.3,8.5,89.0,21.0
Bahawalnagar,2024-11-05 05:00,122.265,131.8,82.7,652.0,7.2,10.4,117.0,29.0
Bahawalnagar,2024-11-05 06:00,117.58,127.6,79.6,587.0,4.7,11.7,140.0,34.0
Bahawalnagar,2024-11-05 07:00,113.31500000000001,123.9,75.2,503.0,2.7,11.9,153.0,30.0
Bahawalnagar,2024-11-05 08:00,108.55500000000002,119.0,69.4,422.0,1.5,14.8,161.0,29.0
Bahawalnagar,2024-11-05 09:00,104.85,113.2,64.5,407.0,1.8,16.7,162.0,32.0
Bahawalnagar,2024-11-05 10:00,103.89500000000001,110.4,62.4,416.0,5.7,16.4,153.0,32.0
Bahawalnagar,2024-11-05 11:00,105.28500000000001,109.9,63.1,448.0,11.7,15.0,137.0,30.0
Bahawalnagar,2024-11-05 12:00,117.30499999999999,131.8,79.6,489.0,17.2,14.2,129.0,27.0
Bahawalnagar,2024-11-05 13:00,126.11,143.4,87.5,609.0,23.1,13.9,116.0,27.0
Bahawalnagar,2024-11-05 14:00,135.1,154.1,95.2,790.0,32.5,13.5,100.0,27.0
Bahawalnagar,2024-11-05 15:00,153.62499999999997,155.1,96.9,901.0,39.6,13.5,85.0,26.0
Bahawalnagar,2024-11-05 16:00,157.155,154.1,96.9,879.0,42.6,13.2,76.0,24.0
Bahawalnagar,2024-11-05 17:00,152.075,156.9,99.0,786.0,43.4,12.9,76.0,22.0
Bahawalnagar,2024-11-05 18:00,145.03500000000003,159.7,100.8,822.0,42.3,12.9,77.0,21.0
Bahawalnagar,2024-11-05 19:00,145.46000000000004,161.6,102.0,797.0,39.0,12.0,73.0,20.0
Bahawalnagar,2024-11-05 20:00,145.86999999999998,163.0,102.4,789.0,33.8,11.4,68.0,19.0
Bahawalnagar,2024-11-05 21:00,146.38000000000002,163.4,102.2,830.0,28.7,11.3,63.0,19.0
Bahawalnagar,2024-11-05 22:00,147.25,162.5,100.8,735.0,23.9,10.8,57.0,20.0
Bahawalnagar,2024-11-05 23:00,148.49499999999998,161.6,99.4,744.0,24.9,10.1,50.0,24.0
Bahawalnagar,2024-11-06 00:00,148.525,153.2,93.4,767.0,11.2,11.5,73.0,25.0
Bahawalnagar,2024-11-06 01:00,152.11500000000004,155.1,94.3,797.0,10.1,11.1,69.0,25.0
Bahawalnagar,2024-11-06 02:00,156.81,159.3,97.6,826.0,12.4,11.1,66.0,25.0
Bahawalnagar,2024-11-06 03:00,158.37,161.1,98.7,823.0,13.3,12.1,73.0,26.0
Bahawalnagar,2024-11-06 04:00,157.20499999999998,164.4,100.1,765.0,11.0,15.1,105.0,28.0
Bahawalnagar,2024-11-06 05:00,153.88500000000002,167.2,101.3,675.0,7.1,19.0,150.0,31.0
Bahawalnagar,2024-11-06 06:00,148.275,166.2,98.5,596.0,4.0,21.4,182.0,33.0
Bahawalnagar,2024-11-06 07:00,137.79,155.1,88.9,537.0,2.1,20.9,190.0,34.0
Bahawalnagar,2024-11-06 08:00,124.57000000000001,136.4,77.3,507.0,1.1,18.8,185.0,34.0
Bahawalnagar,2024-11-06 09:00,116.33000000000001,124.8,70.8,485.0,1.6,16.7,174.0,33.0
Bahawalnagar,2024-11-06 10:00,112.995,118.3,67.1,474.0,4.4,15.9,157.0,31.0
Bahawalnagar,2024-11-06 11:00,113.25500000000001,115.0,66.4,507.0,9.0,17.7,156.0,28.0
Bahawalnagar,2024-11-06 12:00,119.76000000000002,123.4,72.6,553.0,15.5,18.9,155.0,26.0
Bahawalnagar,2024-11-06 13:00,130.675,136.0,81.0,712.0,25.4,19.0,142.0,26.0
Bahawalnagar,2024-11-06 14:00,153.16000000000003,148.5,89.9,948.0,37.2,18.5,122.0,27.0
Bahawalnagar,2024-11-06 15:00,176.61,159.3,97.3,1125.0,46.8,18.0,106.0,27.0
Bahawalnagar,2024-11-06 16:00,190.14999999999998,163.0,100.4,1213.0,53.1,17.8,98.0,25.0
Bahawalnagar,2024-11-06 17:00,197.345,162.5,100.4,1242.0,57.2,17.7,94.0,22.0
Bahawalnagar,2024-11-06 18:00,195.63500000000002,162.5,104.1,1202.0,58.2,17.4,89.0,20.0
Bahawalnagar,2024-11-06 19:00,178.75000000000003,161.6,103.6,1046.0,55.0,16.8,80.0,20.0
Bahawalnagar,2024-11-06 20:00,160.995,158.8,101.5,866.0,49.0,15.9,70.0,19.0
Bahawalnagar,2024-11-06 21:00,154.305,151.8,96.9,869.0,47.6,14.9,63.0,18.0
Bahawalnagar,2024-11-06 22:00,146.57000000000002,141.1,88.0,878.0,40.7,13.7,63.0,15.0
Bahawalnagar,2024-11-06 23:00,145.995,142.5,88.0,887.0,30.7,12.3,62.0,14.0
Bahawalpur,2024-11-05 00:00,158.57999999999998,104.1,62.9,1112.0,9.5,12.1,70.0,16.0
Bahawalpur,2024-11-05 01:00,156.645,99.7,60.1,1120.0,10.6,11.3,61.0,16.0
Bahawalpur,2024-11-05 02:00,153.045,98.3,59.5,1100.0,14.4,10.2,52.0,16.0
Bahawalpur,2024-11-05 03:00,144.68500000000003,96.2,59.3,1020.0,16.0,9.5,56.0,16.0
Bahawalpur,2024-11-05 04:00,127.36500000000001,94.1,58.4,833.0,13.3,9.9,74.0,21.0
Bahawalpur,2024-11-05 05:00,125.43500000000002,92.0,56.3,858.0,8.5,12.6,98.0,29.0
Bahawalpur,2024-11-05 06:00,130.92499999999998,89.4,51.6,858.0,4.7,15.2,121.0,34.0
Bahawalpur,2024-11-05 07:00,129.73000000000002,80.3,45.9,821.0,2.7,16.5,140.0,30.0
Bahawalpur,2024-11-05 08:00,124.55000000000001,75.7,45.4,760.0,1.7,17.2,154.0,23.0
