Date,District,Final_aqi
2024-10-10,Attock,115.13696
2024-10-10,Bahawalnagar,201.31851
2024-10-10,Bahawalpur,222.06279
2024-10-10,Bhakkar,103.041504
2024-10-10,Chakwal,103.0154
2024-10-10,Chiniot,126.86491
2024-10-10,Dera Ghazi Khan,105.15287
2024-10-10,Faisalabad,158.26079
2024-10-10,Gujranwala,116.57145
2024-10-10,Gujrat,110.42753
2024-10-10,Hafizabad,124.57603
2024-10-10,Jhang,134.85176
2024-10-10,Jhelum,91.786804
2024-10-10,Kasur,124.706764
2024-10-10,Khanewal,107.198204
2024-10-10,Khushab,120.97085
2024-10-10,Lahore,108.14553
2024-10-10,Layyah,101.850746
2024-10-10,Lodhran,109.003006
2024-10-10,Mandi Bahuddin,105.772865
2024-10-10,Mianwali,98.35576
2024-10-10,Multan,98.96388
2024-10-10,Muzaffargarh,103.20254
2024-10-10,Nankana Sahib,109.77528
2024-10-10,Narowal,111.445045
2024-10-10,Okara,133.22359
2024-10-10,Pakpattan,114.00665
2024-10-10,Rahim Yar Khan,125.744774
2024-10-10,Rajanpur,104.546165
2024-10-10,Rawalpindi,136.95572
2024-10-10,Sahiwal,115.57042
2024-10-10,Sargodha,122.4778
2024-10-10,Sheikhupura,114.84703
2024-10-10,Sialkot,122.66127
2024-10-10,Toba Tek Singh,112.50559
2024-10-10,Vehari,129.27129
2024-10-11,Attock,109.47647
2024-10-11,Bahawalnagar,209.4544
2024-10-11,Bahawalpur,261.09537
2024-10-11,Bhakkar,104.8978
2024-10-11,Chakwal,108.77976
2024-10-11,Chiniot,127.57083
2024-10-11,Dera Ghazi Khan,107.59603
2024-10-11,Faisalabad,152.56235
2024-10-11,Gujranwala,116.09196
2024-10-11,Gujrat,116.37112
2024-10-11,Hafizabad,125.34299
2024-10-11,Jhang,135.23166
2024-10-11,Jhelum,93.39611
2024-10-11,Kasur,125.44923
2024-10-11,Khanewal,115.50826
2024-10-11,Khushab,128.27948
2024-10-11,Lahore,118.61523
2024-10-11,Layyah,104.8157
2024-10-11,Lodhran,112.18359
2024-10-11,Mandi Bahuddin,105.878174
2024-10-11,Mianwali,99.36823
2024-10-11,Multan,106.08285
2024-10-11,Muzaffargarh,112.07165
2024-10-11,Nankana Sahib,112.07602
2024-10-11,Narowal,115.07244
2024-10-11,Okara,129.07094
2024-10-11,Pakpattan,107.97964
2024-10-11,Rahim Yar Khan,140.05241
2024-10-11,Rajanpur,106.260124
2024-10-11,Rawalpindi,139.05608
2024-10-11,Sahiwal,108.06421
2024-10-11,Sargodha,131.16765
2024-10-11,Sheikhupura,127.207245
2024-10-11,Sialkot,128.00752
2024-10-11,Toba Tek Singh,112.849174
2024-10-11,Vehari,124.49651
2024-10-12,Attock,106.443665
2024-10-12,Bahawalnagar,202.46333
2024-10-12,Bahawalpur,263.48532
2024-10-12,Bhakkar,104.28004
2024-10-12,Chakwal,120.90625
2024-10-12,Chiniot,125.103676
2024-10-12,Dera Ghazi Khan,111.419586
2024-10-12,Faisalabad,158.51935
2024-10-12,Gujranwala,116.60131
2024-10-12,Gujrat,115.976715
2024-10-12,Hafizabad,124.80833
2024-10-12,Jhang,136.14555
2024-10-12,Jhelum,91.72523
2024-10-12,Kasur,124.84598
2024-10-12,Khanewal,114.46371
2024-10-12,Khushab,127.345924
2024-10-12,Lahore,121.875374
2024-10-12,Layyah,106.2396
2024-10-12,Lodhran,117.704796
2024-10-12,Mandi Bahuddin,106.06913
2024-10-12,Mianwali,99.43609
2024-10-12,Multan,108.30499
2024-10-12,Muzaffargarh,121.51398
2024-10-12,Nankana Sahib,109.96778
2024-10-12,Narowal,118.20291
2024-10-12,Okara,120.86273
2024-10-12,Pakpattan,110.60288
2024-10-12,Rahim Yar Khan,139.28639
2024-10-12,Rajanpur,106.242256
2024-10-12,Rawalpindi,132.86177
2024-10-12,Sahiwal,109.79493
2024-10-12,Sargodha,131.41202
2024-10-12,Sheikhupura,127.75111
2024-10-12,Sialkot,129.6007
2024-10-12,Toba Tek Singh,113.394066
2024-10-12,Vehari,126.770515
2024-10-13,Attock,107.58628
2024-10-13,Bahawalnagar,207.94429
