District,Final_AQI,datetime
Attock,108.97472,2024-10-10 19:00:00
Attock,118.20634,2024-10-10 20:00:00
Attock,118.94575,2024-10-10 21:00:00
Attock,116.363976,2024-10-10 22:00:00
Attock,113.19402,2024-10-10 23:00:00
Attock,110.88047,2024-10-11 00:00:00
Attock,109.5526,2024-10-11 01:00:00
Attock,108.36654,2024-10-11 02:00:00
Attock,106.453,2024-10-11 03:00:00
Attock,103.31264,2024-10-11 04:00:00
Attock,99.19338,2024-10-11 05:00:00
Attock,95.62549,2024-10-11 06:00:00
Attock,94.21488,2024-10-11 07:00:00
Attock,95.22883,2024-10-11 08:00:00
Attock,97.52473,2024-10-11 09:00:00
Attock,99.736176,2024-10-11 10:00:00
Attock,101.614426,2024-10-11 11:00:00
Attock,103.76924,2024-10-11 12:00:00
Attock,106.77466,2024-10-11 13:00:00
Attock,110.62705,2024-10-11 14:00:00
Attock,115.18453,2024-10-11 15:00:00
Attock,119.8652,2024-10-11 16:00:00
Attock,123.69746,2024-10-11 17:00:00
Attock,125.99015,2024-10-11 18:00:00
Attock,126.37957,2024-10-11 19:00:00
Attock,124.68418,2024-10-11 20:00:00
Attock,120.98315,2024-10-11 21:00:00
Attock,116.25243,2024-10-11 22:00:00
Attock,111.52464,2024-10-11 23:00:00
Attock,107.8953,2024-10-12 00:00:00
Attock,104.90754,2024-10-12 01:00:00
Attock,101.331856,2024-10-12 02:00:00
Attock,95.97862,2024-10-12 03:00:00
Attock,89.61135,2024-10-12 04:00:00
Attock,85.586784,2024-10-12 05:00:00
Attock,85.50639,2024-10-12 06:00:00
Attock,87.70744,2024-10-12 07:00:00
Attock,91.352005,2024-10-12 08:00:00
Attock,95.07093,2024-10-12 09:00:00
Attock,98.82623,2024-10-12 10:00:00
Attock,103.07058,2024-10-12 11:00:00
Attock,107.76477,2024-10-12 12:00:00
Attock,112.37813,2024-10-12 13:00:00
Attock,117.01908,2024-10-12 14:00:00
Attock,121.22778,2024-10-12 15:00:00
Attock,124.45506,2024-10-12 16:00:00
Attock,125.82294,2024-10-12 17:00:00
Attock,124.91617,2024-10-12 18:00:00
Attock,122.25833,2024-10-12 19:00:00
Attock,118.567726,2024-10-12 20:00:00
Attock,114.77279,2024-10-12 21:00:00
Attock,110.91534,2024-10-12 22:00:00
Attock,107.70482,2024-10-12 23:00:00
Attock,104.67687,2024-10-13 00:00:00
Attock,100.72987,2024-10-13 01:00:00
Attock,95.21225,2024-10-13 02:00:00
Attock,89.0846,2024-10-13 03:00:00
Attock,84.23676,2024-10-13 04:00:00
Attock,82.216736,2024-10-13 05:00:00
Attock,82.801674,2024-10-13 06:00:00
Attock,85.142685,2024-10-13 07:00:00
Attock,88.980125,2024-10-13 08:00:00
Attock,93.85628,2024-10-13 09:00:00
Attock,99.01304,2024-10-13 10:00:00
Attock,104.18668,2024-10-13 11:00:00
Attock,109.06074,2024-10-13 12:00:00
Attock,113.41728,2024-10-13 13:00:00
Attock,117.73795,2024-10-13 14:00:00
Attock,122.60088,2024-10-13 15:00:00
Attock,127.005875,2024-10-13 16:00:00
Attock,129.72652,2024-10-13 17:00:00
Attock,130.83434,2024-10-13 18:00:00
Attock,130.35315,2024-10-13 19:00:00
Attock,128.3571,2024-10-13 20:00:00
Attock,124.997894,2024-10-13 21:00:00
Attock,121.03348,2024-10-13 22:00:00
Attock,116.80796,2024-10-13 23:00:00
Attock,111.35952,2024-10-14 00:00:00
Attock,104.643135,2024-10-14 01:00:00
Attock,97.91524,2024-10-14 02:00:00
