"id","latitude","longitude","district"
1,32.03010021,71.8792103,"Khushab"
2,32.36153073,74.69950231,"Sialkot"
3,30.25747827,73.67574411,"Bahawalnagar"
4,33.27189873,73.18823821,"Rawalpindi"
5,30.39985067,70.43184965,"Dera Ghazi Khan"
6,28.81551741,72.24841983,"Bahawalpur"
7,30.94376343,73.09344812,"Faisalabad"
8,32.95531203,73.03416126,"Chakwal"
9,32.07969982,72.79488246,"Sargodha"
10,32.27557571,73.12265161,"Sargodha"
11,30.48091031,72.00241639,"Khanewal"
12,31.81692917,71.75713518,"Khushab"
13,28.64297043,72.03734716,"Bahawalpur"
14,29.5170447,71.93602712,"Lodhran"
15,28.28756538,69.66690763,"Rahim Yar Khan"
16,30.87229426,71.02592342,"Layyah"
17,31.0152943,71.31794921,"Layyah"
18,28.44744275,72.21508098,"Bahawalpur"
19,33.06550061,73.7190959,"Jhelum"
20,30.04460627,72.26413678,"Vehari"
21,30.66748912,70.82410602,"Layyah"
22,31.16242037,73.74807463,"Kasur"
23,29.96188014,73.35562615,"Bahawalnagar"
24,32.24558298,72.3572651,"Sargodha"
25,28.54565708,69.92203038,"Rajanpur"
26,32.21772657,73.86760707,"Gujranwala"
27,31.16003119,70.35815603,"Dera Ghazi Khan"
28,32.32618693,72.95573533,"Sargodha"
29,32.30909375,74.97833549,"Narowal"
30,28.24272495,71.67944929,"Bahawalpur"
31,28.88721932,71.7679128,"Bahawalpur"
32,30.65122297,70.47283679,"Dera Ghazi Khan"
33,31.3571646,71.32958628,"Bhakkar"
34,30.61286125,71.59223119,"Layyah"
35,30.88999449,72.71866243,"Faisalabad"
36,29.63356117,71.35306582,"Multan"
37,31.7334643,71.80170689,"Khushab"
38,29.97370111,71.8936409,"Vehari"
39,27.8894167,71.37526358,"Bahawalpur"
40,29.59442582,71.43677504,"Lodhran"
41,32.25898909,71.55312718,"Mianwali"
42,32.08345347,71.47040214,"Bhakkar"
43,32.25460689,71.68996772,"Mianwali"
44,29.34609351,71.18890231,"Bahawalpur"
45,29.89564946,73.34368993,"Bahawalnagar"
46,29.00906865,69.98933773,"Rajanpur"
47,28.58736877,70.51816841,"Rahim Yar Khan"
48,31.07500006,70.97767996,"Layyah"
49,29.38977675,72.99057927,"Bahawalnagar"
50,31.39242555,72.60367391,"Jhang"
51,29.74082644,70.74513498,"Dera Ghazi Khan"
52,32.31215193,73.88564977,"Gujranwala"
53,29.55505568,72.97438215,"Bahawalnagar"
54,31.26732797,73.50472284,"Faisalabad"
55,32.93194279,71.39452302,"Mianwali"
56,30.95274508,72.09687629,"Jhang"
57,30.35622304,71.25495413,"Muzaffargarh"
58,30.86666013,71.5954249,"Layyah"
59,31.1273428,72.86134542,"Faisalabad"
60,32.81611483,73.55749828,"Jhelum"
61,31.50343566,72.38246159,"Jhang"
62,32.26844827,74.55349653,"Sialkot"
63,33.40743947,72.39115291,"Attock"
64,31.41784993,72.84831358,"Faisalabad"
65,30.45522917,73.92633789,"Okara"
66,31.22979746,72.41241481,"Jhang"
67,32.35009817,72.4972284,"Sargodha"
68,31.61949154,70.89446862,"Bhakkar"
69,30.59250289,73.19230295,"Sahiwal"
70,28.68461251,70.22168,"Rahim Yar Khan"
71,31.61026853,70.98856122,"Bhakkar"
72,31.00623807,70.33490064,"Dera Ghazi Khan"
73,30.95009929,71.96590266,"Jhang"
74,30.37997755,72.96043929,"Pakpattan"
75,28.14445085,70.06998179,"Rahim Yar Khan"
76,31.82393947,71.38861345,"Bhakkar"
77,32.32214881,74.88720163,"Narowal"
78,28.87298542,71.89164248,"Bahawalpur"
79,30.63948928,73.5561202,"Okara"
80,30.24718397,72.48952547,"Sahiwal"
81,32.81206572,72.44691981,"Chakwal"
82,30.69440407,72.85204543,"Sahiwal"
83,28.13149732,71.48704298,"Bahawalpur"
84,29.80778889,72.03306674,"Vehari"
85,28.30151476,72.10666072,"Bahawalpur"
86,32.24893185,74.15705122,"Gujranwala"
87,32.29100024,73.46744888,"Mandi Bahuddin"
88,32.69451808,74.22052669,"Gujrat"
89,28.55267317,71.95845481,"Bahawalpur"
90,32.01063975,71.22045684,"Bhakkar"
91,33.27170042,72.12173148,"Attock"
92,31.82545035,71.38240435,"Bhakkar"
93,30.47037252,72.59672316,"Sahiwal"
94,30.70191373,71.05808291,"Layyah"
95,31.45996436,74.20042927,"Lahore"
96,27.93870841,70.7066141,"Rahim Yar Khan"
97,32.51645252,73.74976321,"Mandi Bahuddin"
98,29.2080379,70.42693494,"Rajanpur"
99,29.08648636,72.4937975,"Bahawalnagar"
100,33.38705039,73.46507409,"Rawalpindi"
101,28.74129874,72.36969891,"Bahawalpur"
102,30.28199055,71.63414753,"Multan"
103,28.36615135,70.88620106,"Rahim Yar Khan"
104,33.61052736,73.09923211,"Rawalpindi"
105,30.32633834,73.00564892,"Pakpattan"
106,30.06623276,72.53002316,"Vehari"
107,28.79823577,71.0032155,"Rahim Yar Khan"
108,28.8693958,71.90090545,"Bahawalpur"
109,33.67542868,72.66720769,"Attock"
110,28.98151672,71.78794192,"Bahawalpur"
111,28.05269959,70.76158656,"Rahim Yar Khan"
112,32.10308045,72.34802315,"Sargodha"
113,33.78853684,73.25949767,"Rawalpindi"
114,29.12524014,70.49864831,"Rajanpur"
115,32.04680372,73.51428356,"Hafizabad"
116,30.42344923,70.96277687,"Muzaffargarh"
117,32.12566825,74.57804205,"Sialkot"
118,29.21569736,71.36062925,"Bahawalpur"
119,28.81105957,71.34578996,"Bahawalpur"
120,28.64960174,70.78144575,"Rahim Yar Khan"
121,30.85391297,72.72827119,"Faisalabad"
122,33.14849503,72.69290934,"Chakwal"
123,31.07674758,73.83444338,"Kasur"
124,33.25668978,73.29347203,"Rawalpindi"
125,29.59451798,72.24697154,"Bahawalpur"
126,29.42447704,71.32691345,"Multan"
127,31.79910462,71.10524571,"Bhakkar"
128,31.98343692,73.48331011,"Hafizabad"
129,30.55622915,73.51343248,"Okara"
130,29.69698154,71.2561195,"Multan"
131,30.9649258,73.56374845,"Okara"
132,29.61116778,72.65925267,"Bahawalpur"
133,29.29947982,72.80619245,"Bahawalnagar"
134,31.98687168,71.24486727,"Bhakkar"
135,30.51679774,70.87123237,"Muzaffargarh"
136,28.16078587,70.10942009,"Rahim Yar Khan"
137,29.6041475,71.98976133,"Lodhran"
138,31.89683409,72.11151682,"Khushab"
139,30.27205769,70.200715,"Dera Ghazi Khan"
140,33.08938504,72.54120755,"Chakwal"
141,32.52625084,74.50359637,"Sialkot"
