Date,Date,Final_aqi
45075,5/29/2023,160.9508333
45076,5/30/2023,84.26875
45077,5/31/2023,90.33145833
45078,6/1/2023,114.775625
45079,6/2/2023,121.5522917
45080,6/3/2023,151.3670833
45081,6/4/2023,103.2552083
45082,6/5/2023,140.1829167
45083,6/6/2023,106.2175
45084,6/7/2023,165.27
45085,6/8/2023,176.1047917
45086,6/9/2023,138.528125
45087,6/10/2023,134.1185417
45088,6/11/2023,155.309375
45089,6/12/2023,131.6647917
45090,6/13/2023,104.2152083
45091,6/14/2023,117.4283333
45092,6/15/2023,95.55666667
45093,6/16/2023,103.5229167
45094,6/17/2023,104.5052083
45095,6/18/2023,112.6179167
45096,6/19/2023,159.3295833
45097,6/20/2023,153.3452083
45098,6/21/2023,139.6791667
45099,6/22/2023,126.61
45100,6/23/2023,109.5377083
45101,6/24/2023,101.4629167
45102,6/25/2023,89.04354167
45103,6/26/2023,127.9222917
45104,6/27/2023,71.56875
45105,6/28/2023,85.81333333
45106,6/29/2023,86.09395833
45107,6/30/2023,120.1035417
45108,7/1/2023,93.754375
45109,7/2/2023,101.9595833
45110,7/3/2023,95.76395833
45111,7/4/2023,83.25041667
45112,7/5/2023,95.49416667
45113,7/6/2023,113.4283333
45114,7/7/2023,94.06020833
45115,7/8/2023,87.98416667
45116,7/9/2023,77.29895833
45117,7/10/2023,97.36916667
45118,7/11/2023,116.8
45119,7/12/2023,99.358125
45120,7/13/2023,101.5202083
45121,7/14/2023,86.36020833
45122,7/15/2023,105.319375
45123,7/16/2023,132.3989583
45124,7/17/2023,98.98354167
45125,7/18/2023,86.14791667
45126,7/19/2023,100.3820833
45127,7/20/2023,114.3275
45128,7/21/2023,85.95729167
45129,7/22/2023,74.56375
45130,7/23/2023,109.6572917
45131,7/24/2023,89.61583333
45132,7/25/2023,105.5775
45133,7/26/2023,87.865
45134,7/27/2023,112.9645833
45135,7/28/2023,93.80875
45136,7/29/2023,105.9414583
45137,7/30/2023,114.8872917
45138,7/31/2023,134.3122917
45139,8/1/2023,117.815625
45140,8/2/2023,89.22354167
45141,8/3/2023,133.9554167
45142,8/4/2023,108.0095833
45143,8/5/2023,128.0283333
45144,8/6/2023,104.2264583
45145,8/7/2023,115.4595833
45146,8/8/2023,108.0727083
45147,8/9/2023,109.3370833
45148,8/10/2023,94.63375
45149,8/11/2023,117.691875
45150,8/12/2023,117.0354167
45151,8/13/2023,82.67979167
45152,8/14/2023,105.281875
45153,8/15/2023,105.5714583
45154,8/16/2023,122.6114583
45155,8/17/2023,131.5310417
45156,8/18/2023,119.5895833
45157,8/19/2023,122.389375
45158,8/20/2023,110.1641667
45159,8/21/2023,122.2270833
45160,8/22/2023,107.5114583
45161,8/23/2023,88.161875
45162,8/24/2023,107.2341667
45163,8/25/2023,103.3108333
45164,8/26/2023,108.2402083
45165,8/27/2023,109.086875
45166,8/28/2023,108.000625
45167,8/29/2023,109.035625
45168,8/30/2023,136.701875
45169,8/31/2023,108.8270833
45170,9/1/2023,96.54416667
45171,9/2/2023,91.91645833
45172,9/3/2023,119.2916667
45173,9/4/2023,89.68
45174,9/5/2023,101.1183333
45175,9/6/2023,100.1677083
45176,9/7/2023,93.74041667
45177,9/8/2023,98.45729167
45178,9/9/2023,112.5610417
45179,9/10/2023,105.6670833
45180,9/11/2023,99.05020833
45181,9/12/2023,109.8975
45182,9/13/2023,114.426875
45183,9/14/2023,107.3529167
45184,9/15/2023,90.2375
45185,9/16/2023,101.13
45186,9/17/2023,79.764375
45187,9/18/2023,108.3429167
45188,9/19/2023,91.82
45189,9/20/2023,99.361875
45190,9/21/2023,78.14104167
45191,9/22/2023,90.91833333
45192,9/23/2023,95.97875
45193,9/24/2023,110.7247917
45194,9/25/2023,81.29270833
45195,9/26/2023,105.9539583
45196,9/27/2023,101.4120833
45197,9/28/2023,100.7691667
45198,9/29/2023,81.16541667
45199,9/30/2023,93.02916667
45200,10/1/2023,103.35
45201,10/2/2023,93.60520833
45202,10/3/2023,114.421875
45203,10/4/2023,108.345
45204,10/5/2023,134.2325
45205,10/6/2023,157.4133333
45206,10/7/2023,178.1895833
45207,10/8/2023,144.27125
45208,10/9/2023,104.8191667
45209,10/10/2023,99.73479167
45210,10/11/2023,146.64875
45211,10/12/2023,134.153125
45212,10/13/2023,108.2839583
45213,10/14/2023,102.4795833
45214,10/15/2023,71.66458333
45215,10/16/2023,68.98354167
45216,10/17/2023,88.68333333
45217,10/18/2023,102.48625
45218,10/19/2023,139.2508333
45219,10/20/2023,127.231875
45220,10/21/2023,145.2339583
45221,10/22/2023,136.5891667
45222,10/23/2023,139.2772917
45223,10/24/2023,128.1445833
45224,10/25/2023,128.5629167
45225,10/26/2023,124.4997917
45226,10/27/2023,134.8827083
45227,10/28/2023,154.0191667
45228,10/29/2023,158.8660417
45229,10/30/2023,176.5158333
45230,10/31/2023,180.9229167
45231,11/1/2023,173.9358333
45232,11/2/2023,139.34875
45233,11/3/2023,128.9039583
45234,11/4/2023,131.9672917
45235,11/5/2023,151.7264583
45236,11/6/2023,179.4402083
45237,11/7/2023,189.3204167
45238,11/8/2023,176.9591667
45239,11/9/2023,155.0791667
45240,11/10/2023,129.145625
45241,11/11/2023,138.7608333
45242,11/12/2023,152.3039583
45243,11/13/2023,175.6070833
45244,11/14/2023,146.7502083
45245,11/15/2023,128.6720833
45246,11/16/2023,169.0164583
45247,11/17/2023,181.4795833
45248,11/18/2023,200.6991667
45249,11/19/2023,175.7266667
45250,11/20/2023,189.186875
45251,11/21/2023,165.138125
45252,11/22/2023,205.0947917
45253,11/23/2023,196.6525
45254,11/24/2023,147.569375
45255,11/25/2023,225.9620833
45256,11/26/2023,235.1595833
45257,11/27/2023,205.6020833
45258,11/28/2023,212.1547917
45259,11/29/2023,155.52125
45260,11/30/2023,131.1416667
45261,12/1/2023,116.8558333
45262,12/2/2023,151.658125
45263,12/3/2023,142.0425
45264,12/4/2023,179.1110417
45265,12/5/2023,190.4797917
45266,12/6/2023,200.5754167
45267,12/7/2023,214.9229167
45268,12/8/2023,226.8508333
45269,12/9/2023,206.9454167
45270,12/10/2023,166
45271,12/11/2023,244.046875
45272,12/12/2023,266.0285417
45273,12/13/2023,233.1414583
45274,12/14/2023,238.9420833
45275,12/15/2023,285.5004167
45276,12/16/2023,234.5677083
45277,12/17/2023,170.9870833
45278,12/18/2023,164.0510417
45279,12/19/2023,183.374375
45280,12/20/2023,223.464375
45281,12/21/2023,225.1279167
45282,12/22/2023,239.0114583
45283,12/23/2023,206.5910417
45284,12/24/2023,201.1383333
45285,12/25/2023,260.735625
45286,12/26/2023,301.4620833
45287,12/27/2023,217.8735417
45288,12/28/2023,261.2779167
45289,12/29/2023,314.3977083
45290,12/30/2023,315.3310417
45291,12/31/2023,335.64125
45292,1/1/2024,296.7689583
45293,1/2/2024,305.7647917
45294,1/3/2024,316.2689583
45295,1/4/2024,353.6970833
45296,1/5/2024,353.4289583
45297,1/6/2024,345.461875
45298,1/7/2024,351.0664583
45299,1/8/2024,349.0302083
45300,1/9/2024,298.8566667
45301,1/10/2024,254.2595833
45302,1/11/2024,286.68625
45303,1/12/2024,367.62625
45304,1/13/2024,321.203125
45305,1/14/2024,347.1366667
45306,1/15/2024,348.2720833
45307,1/16/2024,366.5364583
45308,1/17/2024,373.6316667
45309,1/18/2024,365.1385417
45310,1/19/2024,339.3066667
45311,1/20/2024,346.575625
45312,1/21/2024,364.7329167
45313,1/22/2024,308.6008333
45314,1/23/2024,324.5122917
45315,1/24/2024,316.39875
45316,1/25/2024,307.345
45317,1/26/2024,184.8185417
45318,1/27/2024,177.825625
45319,1/28/2024,153.635625
45320,1/29/2024,166.9464583
45321,1/30/2024,140.3247917
45322,1/31/2024,100.6585417
45323,2/1/2024,159.3254167
45324,2/2/2024,119.9508333
45325,2/3/2024,118.8202083
45326,2/4/2024,184.2008333
45327,2/5/2024,170.83
