Districts,Date,Final_aqi
Attock,2024-10-29,129.29962
Attock,2024-10-30,109.52794
Attock,2024-10-31,118.039314
Attock,2024-11-01,153.71346
Attock,2024-11-02,129.9871
Attock,2024-11-03,176.0276
Attock,2024-11-04,133.96417
Attock,2024-11-05,162.98543
Attock,2024-11-06,178.59212
Attock,2024-11-07,177.9231
Attock,2024-11-08,177.48306
Attock,2024-11-09,182.12517
Attock,2024-11-10,183.8788
Attock,2024-11-11,141.88661
Attock,2024-11-12,133.12154
Attock,2024-11-13,131.63988
Attock,2024-11-14,157.84793
Attock,2024-11-15,158.62967
Attock,2024-11-16,176.80145
Attock,2024-11-17,160.02858
Attock,2024-11-18,175.46106
Attock,2024-11-19,163.02193
Attock,2024-11-20,145.40576
Attock,2024-11-21,140.11497
Attock,2024-11-22,146.09273
Attock,2024-11-23,147.23047
Attock,2024-11-24,145.64561
Attock,2024-11-25,141.78287
Attock,2024-11-26,133.20303
Attock,2024-11-27,114.19872
Attock,2024-11-28,123.664474
Attock,2024-11-29,133.40134
Attock,2024-11-30,133.877
Attock,2024-12-01,147.0187
Attock,2024-12-02,80.370476
Attock,2024-12-03,167.2209
Attock,2024-12-04,139.94356
Attock,2024-12-05,167.06207
Attock,2024-12-06,198.51395
Attock,2024-12-07,193.16269
Attock,2024-12-08,175.917
Attock,2024-12-09,176.15009
Attock,2024-12-10,186.88834
Attock,2024-12-11,130.74092
Attock,2024-12-12,129.20941
Attock,2024-12-13,141.39017
Attock,2024-12-14,177.43883
Attock,2024-12-15,168.26373
Attock,2024-12-16,173.38031
Attock,2024-12-17,163.60602
Attock,2024-12-18,171.26555
Attock,2024-12-19,155.3862
Attock,2024-12-20,149.85748
Attock,2024-12-21,152.71492
Attock,2024-12-22,153.08475
Attock,2024-12-23,137.85332
Attock,2024-12-24,145.30154
Attock,2024-12-25,136.2554
Attock,2024-12-26,133.7712
Attock,2024-12-27,126.193146
Bahawalnagar,2024-10-29,118.36005
Bahawalnagar,2024-10-30,161.52853
Bahawalnagar,2024-10-31,124.18384
Bahawalnagar,2024-11-01,108.179306
Bahawalnagar,2024-11-02,97.095985
Bahawalnagar,2024-11-03,119.27215
Bahawalnagar,2024-11-04,130.79285
Bahawalnagar,2024-11-05,120.70936
Bahawalnagar,2024-11-06,124.15493
Bahawalnagar,2024-11-07,112.64116
Bahawalnagar,2024-11-08,114.12633
Bahawalnagar,2024-11-09,126.49605
Bahawalnagar,2024-11-10,136.81555
Bahawalnagar,2024-11-11,130.64496
Bahawalnagar,2024-11-12,118.74498
