Date,District,Final_aqi
2024-10-29 00:00:00,Attock,77.81678
2024-10-29 01:00:00,Attock,65.39683
2024-10-29 02:00:00,Attock,64.85358
2024-10-29 03:00:00,Attock,61.63114
2024-10-29 04:00:00,Attock,71.566414
2024-10-29 05:00:00,Attock,71.39666
2024-10-29 06:00:00,Attock,70.78199
2024-10-29 07:00:00,Attock,65.68047
2024-10-29 08:00:00,Attock,67.348236
2024-10-29 09:00:00,Attock,67.14918
2024-10-29 10:00:00,Attock,80.633194
2024-10-29 11:00:00,Attock,75.37729
2024-10-29 12:00:00,Attock,82.70025
2024-10-29 13:00:00,Attock,79.29245
2024-10-29 14:00:00,Attock,83.16785
2024-10-29 15:00:00,Attock,85.39137
2024-10-29 16:00:00,Attock,85.957825
2024-10-29 17:00:00,Attock,80.13016
2024-10-29 18:00:00,Attock,86.24859
2024-10-29 19:00:00,Attock,78.85862
2024-10-29 20:00:00,Attock,86.59597
2024-10-29 21:00:00,Attock,88.45461
2024-10-29 22:00:00,Attock,92.27493
2024-10-29 23:00:00,Attock,94.51043
2024-10-30 00:00:00,Attock,88.243324
2024-10-30 01:00:00,Attock,84.31695
2024-10-30 02:00:00,Attock,76.80669
2024-10-30 03:00:00,Attock,77.83608
2024-10-30 04:00:00,Attock,75.4599
2024-10-30 05:00:00,Attock,78.373024
2024-10-30 06:00:00,Attock,76.75138
2024-10-30 07:00:00,Attock,72.46248
2024-10-30 08:00:00,Attock,69.32657
2024-10-30 09:00:00,Attock,82.26841
2024-10-30 10:00:00,Attock,78.732956
2024-10-30 11:00:00,Attock,83.63007
2024-10-30 12:00:00,Attock,78.26766
2024-10-30 13:00:00,Attock,82.16594
2024-10-30 14:00:00,Attock,79.27488
2024-10-30 15:00:00,Attock,87.342514
2024-10-30 16:00:00,Attock,76.96179
2024-10-30 17:00:00,Attock,80.911
2024-10-30 18:00:00,Attock,74.38603
2024-10-30 19:00:00,Attock,78.11285
2024-10-30 20:00:00,Attock,79.41381
2024-10-30 21:00:00,Attock,91.852005
2024-10-30 22:00:00,Attock,88.519226
2024-10-30 23:00:00,Attock,93.3941
2024-10-31 00:00:00,Attock,91.84215
2024-10-31 01:00:00,Attock,81.83211
2024-10-31 02:00:00,Attock,85.02344
2024-10-31 03:00:00,Attock,84.53604
2024-10-31 04:00:00,Attock,79.53483
2024-10-31 05:00:00,Attock,84.780365
2024-10-31 06:00:00,Attock,77.863686
2024-10-31 07:00:00,Attock,79.371796
2024-10-31 08:00:00,Attock,79.14959
2024-10-31 09:00:00,Attock,81.507866
2024-10-31 10:00:00,Attock,88.34334
2024-10-31 11:00:00,Attock,88.765724
2024-10-31 12:00:00,Attock,88.37361
2024-10-31 13:00:00,Attock,91.23252
2024-10-31 14:00:00,Attock,86.21733
2024-10-31 15:00:00,Attock,86.408745
2024-10-31 16:00:00,Attock,87.16729
2024-10-31 17:00:00,Attock,86.85932
2024-10-31 18:00:00,Attock,86.0161
2024-10-31 19:00:00,Attock,85.948
2024-10-31 20:00:00,Attock,71.29202
2024-10-31 21:00:00,Attock,72.026596
2024-10-31 22:00:00,Attock,70.91719
2024-10-31 23:00:00,Attock,69.93044
2024-11-01 00:00:00,Attock,74.66639
2024-11-01 01:00:00,Attock,65.81875
2024-11-01 02:00:00,Attock,57.66317
2024-11-01 03:00:00,Attock,60.29002
2024-11-01 04:00:00,Attock,58.708775
2024-11-01 05:00:00,Attock,61.285755
2024-11-01 06:00:00,Attock,58.02113
2024-11-01 07:00:00,Attock,63.36637
2024-11-01 08:00:00,Attock,63.811436
2024-11-01 09:00:00,Attock,69.357956
2024-11-01 10:00:00,Attock,73.926865
2024-11-01 11:00:00,Attock,73.74852
2024-11-01 12:00:00,Attock,77.99871
2024-11-01 13:00:00,Attock,85.551926
2024-11-01 14:00:00,Attock,83.137436
2024-11-01 15:00:00,Attock,88.97126
2024-11-01 16:00:00,Attock,81.26388
2024-11-01 17:00:00,Attock,82.50695
2024-11-01 18:00:00,Attock,88.33992
2024-11-01 19:00:00,Attock,84.872635
2024-11-01 20:00:00,Attock,89.36951
2024-11-01 21:00:00,Attock,92.592865
2024-11-01 22:00:00,Attock,92.89182
2024-11-01 23:00:00,Attock,98.88677
2024-11-02 00:00:00,Attock,93.0097
2024-11-02 01:00:00,Attock,84.681915
2024-11-02 02:00:00,Attock,76.44665
2024-11-02 03:00:00,Attock,72.563095
2024-11-02 04:00:00,Attock,68.81147
2024-11-02 05:00:00,Attock,70.49485
2024-11-02 06:00:00,Attock,66.2779
2024-11-02 07:00:00,Attock,71.213715
2024-11-02 08:00:00,Attock,68.98502
2024-11-02 09:00:00,Attock,77.769325
2024-11-02 10:00:00,Attock,80.5926
2024-11-02 11:00:00,Attock,87.76051
2024-11-02 12:00:00,Attock,86.11643
2024-11-02 13:00:00,Attock,94.38532
2024-11-02 14:00:00,Attock,85.81585
2024-11-02 15:00:00,Attock,89.826805
2024-11-02 16:00:00,Attock,89.84096
2024-11-02 17:00:00,Attock,92.6587
2024-11-02 18:00:00,Attock,86.40789
2024-11-02 19:00:00,Attock,91.2294
2024-11-02 20:00:00,Attock,90.62826
2024-11-02 21:00:00,Attock,96.79644
2024-11-02 22:00:00,Attock,100.73789
2024-11-02 23:00:00,Attock,101.48104
2024-11-03 00:00:00,Attock,98.44101
2024-11-03 01:00:00,Attock,88.74786
2024-11-03 02:00:00,Attock,79.282074
2024-11-03 03:00:00,Attock,79.46565
2024-11-03 04:00:00,Attock,78.04815
2024-11-03 05:00:00,Attock,74.42501
2024-11-03 06:00:00,Attock,76.402916
2024-11-03 07:00:00,Attock,69.65345
2024-11-03 08:00:00,Attock,76.68285
2024-11-03 09:00:00,Attock,86.613304
2024-11-03 10:00:00,Attock,86.0624
2024-11-03 11:00:00,Attock,86.14179
2024-11-03 12:00:00,Attock,91.88116
2024-11-03 13:00:00,Attock,94.978584
2024-11-03 14:00:00,Attock,99.816536
2024-11-03 15:00:00,Attock,94.04161
2024-11-03 16:00:00,Attock,89.79623
2024-11-03 17:00:00,Attock,90.723946
2024-11-03 18:00:00,Attock,101.98741
