,Date,District,Final_aqi
0,2024-10-10,Attock,115.1369612
1,2024-10-10,Bahawalnagar,201.318514
2,2024-10-10,Bahawalpur,222.06278400000002
3,2024-10-10,Bhakkar,103.0415012
4,2024-10-10,Chakwal,103.0154098
5,2024-10-10,Chiniot,126.86489980000002
6,2024-10-10,Dera Ghazi Khan,105.152874
7,2024-10-10,Faisalabad,158.260788
8,2024-10-10,Gujranwala,116.57144720000001
9,2024-10-10,Gujrat,110.427532
10,2024-10-10,Hafizabad,124.5760268
11,2024-10-10,Jhang,134.85176
12,2024-10-10,Jhelum,91.7868048
13,2024-10-10,Kasur,124.70675820000001
14,2024-10-10,Khanewal,107.19820399999999
15,2024-10-10,Khushab,120.970856
16,2024-10-10,Lahore,108.14553000000001
17,2024-10-10,Layyah,101.8507422
18,2024-10-10,Lodhran,109.0030032
19,2024-10-10,Mandi Bahuddin,105.7728632
20,2024-10-10,Mianwali,98.3557642
21,2024-10-10,Multan,98.9638882
22,2024-10-10,Muzaffargarh,103.202537
23,2024-10-10,Nankana Sahib,109.77528
24,2024-10-10,Narowal,111.4450488
25,2024-10-10,Okara,133.22359
26,2024-10-10,Pakpattan,114.006655
27,2024-10-10,Rahim Yar Khan,125.74477120000002
28,2024-10-10,Rajanpur,104.5461628
29,2024-10-10,Rawalpindi,136.95572199999998
30,2024-10-10,Sahiwal,115.570425
31,2024-10-10,Sargodha,122.47779599999998
32,2024-10-10,Sheikhupura,114.8470304
33,2024-10-10,Sialkot,122.66126899999999
34,2024-10-10,Toba Tek Singh,112.50559559999999
35,2024-10-10,Vehari,129.271293
36,2024-10-11,Attock,109.47647591666667
37,2024-10-11,Bahawalnagar,209.45441041666666
38,2024-10-11,Bahawalpur,261.09535416666665
39,2024-10-11,Bhakkar,104.89779212500001
40,2024-10-11,Chakwal,108.77976037500001
41,2024-10-11,Chiniot,127.57083295833333
42,2024-10-11,Dera Ghazi Khan,107.5960295
43,2024-10-11,Faisalabad,152.56234583333332
44,2024-10-11,Gujranwala,116.09196166666668
45,2024-10-11,Gujrat,116.37111341666667
46,2024-10-11,Hafizabad,125.34298666666666
47,2024-10-11,Jhang,135.23166041666667
48,2024-10-11,Jhelum,93.39610741666667
49,2024-10-11,Kasur,125.44922974999999
50,2024-10-11,Khanewal,115.50825537499999
51,2024-10-11,Khushab,128.27948
52,2024-10-11,Lahore,118.61522175
53,2024-10-11,Layyah,104.81569233333333
54,2024-10-11,Lodhran,112.18358920833333
55,2024-10-11,Mandi Bahuddin,105.878173875
56,2024-10-11,Mianwali,99.36823891666667
57,2024-10-11,Multan,106.08284766666667
58,2024-10-11,Muzaffargarh,112.071646875
59,2024-10-11,Nankana Sahib,112.07602337499999
60,2024-10-11,Narowal,115.07243799999999
61,2024-10-11,Okara,129.07094420833332
62,2024-10-11,Pakpattan,107.97963020833333
63,2024-10-11,Rahim Yar Khan,140.05240875
64,2024-10-11,Rajanpur,106.2601165
65,2024-10-11,Rawalpindi,139.05607816666665
66,2024-10-11,Sahiwal,108.06420700000001
67,2024-10-11,Sargodha,131.16765666666666
68,2024-10-11,Sheikhupura,127.20724770833333
69,2024-10-11,Sialkot,128.00752729166666
70,2024-10-11,Toba Tek Singh,112.84917479166667
71,2024-10-11,Vehari,124.49651208333334
72,2024-10-12,Attock,106.44366504166668
73,2024-10-12,Bahawalnagar,202.46333374999998
74,2024-10-12,Bahawalpur,263.4853004166667
75,2024-10-12,Bhakkar,104.28003533333333
76,2024-10-12,Chakwal,120.90624587500001
77,2024-10-12,Chiniot,125.10368179166666
78,2024-10-12,Dera Ghazi Khan,111.41958979166667
79,2024-10-12,Faisalabad,158.51935
80,2024-10-12,Gujranwala,116.60130875
81,2024-10-12,Gujrat,115.97671116666668
82,2024-10-12,Hafizabad,124.80832725
83,2024-10-12,Jhang,136.14555208333334
84,2024-10-12,Jhelum,91.72522783333334
85,2024-10-12,Kasur,124.845979125
86,2024-10-12,Khanewal,114.46370875000001
87,2024-10-12,Khushab,127.34592816666667
88,2024-10-12,Lahore,121.87537149999999
89,2024-10-12,Layyah,106.23960125
90,2024-10-12,Lodhran,117.704793125
91,2024-10-12,Mandi Bahuddin,106.06912991666667
92,2024-10-12,Mianwali,99.43609041666667
93,2024-10-12,Multan,108.30498770833333
94,2024-10-12,Muzaffargarh,121.51397279166667
95,2024-10-12,Nankana Sahib,109.96778033333334
96,2024-10-12,Narowal,118.20291391666666
97,2024-10-12,Okara,120.86273004166667
98,2024-10-12,Pakpattan,110.60288041666666
99,2024-10-12,Rahim Yar Khan,139.28639916666665
100,2024-10-12,Rajanpur,106.2422605
101,2024-10-12,Rawalpindi,132.86176724999999
102,2024-10-12,Sahiwal,109.79493525
103,2024-10-12,Sargodha,131.41202083333334
104,2024-10-12,Sheikhupura,127.75111370833334
105,2024-10-12,Sialkot,129.60069000000001
106,2024-10-12,Toba Tek Singh,113.39406079166667
107,2024-10-12,Vehari,126.77052175
108,2024-10-13,Attock,107.58628079166665
109,2024-10-13,Bahawalnagar,207.944295
110,2024-10-13,Bahawalpur,260.7601270833333
111,2024-10-13,Bhakkar,105.45776133333334
112,2024-10-13,Chakwal,123.35128891666666
113,2024-10-13,Chiniot,124.20162358333333
114,2024-10-13,Dera Ghazi Khan,118.17780604166667
115,2024-10-13,Faisalabad,150.18099166666667
116,2024-10-13,Gujranwala,116.92119529166666
117,2024-10-13,Gujrat,115.62748733333332
118,2024-10-13,Hafizabad,124.38174266666665
119,2024-10-13,Jhang,135.61648708333334
120,2024-10-13,Jhelum,90.98423020833333
121,2024-10-13,Kasur,125.19637741666666
122,2024-10-13,Khanewal,116.40617141666667
123,2024-10-13,Khushab,131.12240125
124,2024-10-13,Lahore,125.17521291666667
125,2024-10-13,Layyah,106.85634766666668
126,2024-10-13,Lodhran,120.50743245833333
127,2024-10-13,Mandi Bahuddin,106.08989237499999
128,2024-10-13,Mianwali,99.39385349999999
129,2024-10-13,Multan,105.79261833333334
130,2024-10-13,Muzaffargarh,125.71686433333333
131,2024-10-13,Nankana Sahib,108.77471808333333
132,2024-10-13,Narowal,118.62656325
133,2024-10-13,Okara,131.70191745833333
134,2024-10-13,Pakpattan,107.88603662499999
135,2024-10-13,Rahim Yar Khan,142.36099208333334
136,2024-10-13,Rajanpur,101.52236204166667
137,2024-10-13,Rawalpindi,135.75002170833332
138,2024-10-13,Sahiwal,109.12804925
139,2024-10-13,Sargodha,131.89478041666666
140,2024-10-13,Sheikhupura,129.908238125
141,2024-10-13,Sialkot,129.74918541666668
142,2024-10-13,Toba Tek Singh,112.38454808333334
143,2024-10-13,Vehari,128.88456791666667
144,2024-10-14,Attock,82.02640375
145,2024-10-14,Bahawalnagar,109.61304620833333
146,2024-10-14,Bahawalpur,143.93008
147,2024-10-14,Bhakkar,104.69365791666667
148,2024-10-14,Chakwal,82.80772420833334
149,2024-10-14,Chiniot,118.10114358333334
150,2024-10-14,Dera Ghazi Khan,116.263642375
151,2024-10-14,Faisalabad,109.10662570833334
152,2024-10-14,Gujranwala,105.17746729166667
153,2024-10-14,Gujrat,89.32178183333333
154,2024-10-14,Hafizabad,106.91180979166667
155,2024-10-14,Jhang,121.73545691666668
156,2024-10-14,Jhelum,94.85476775000001
157,2024-10-14,Kasur,102.21813687500001
158,2024-10-14,Khanewal,116.37962329166668
159,2024-10-14,Khushab,95.84338179166667
160,2024-10-14,Lahore,128.285118125
161,2024-10-14,Layyah,111.51626220833333
162,2024-10-14,Lodhran,116.41759325
163,2024-10-14,Mandi Bahuddin,107.20927379166666
164,2024-10-14,Mianwali,102.36122875000001
165,2024-10-14,Multan,121.722002875
166,2024-10-14,Muzaffargarh,109.74844
167,2024-10-14,Nankana Sahib,103.00450920833333
168,2024-10-14,Narowal,112.11446229166667
169,2024-10-14,Okara,100.4319155
170,2024-10-14,Pakpattan,122.77490375000001
171,2024-10-14,Rahim Yar Khan,104.17235833333332
172,2024-10-14,Rajanpur,106.83685670833334
173,2024-10-14,Rawalpindi,82.27636341666667
174,2024-10-14,Sahiwal,111.28840874999999
175,2024-10-14,Sargodha,111.36406333333333
176,2024-10-14,Sheikhupura,122.33115929166667
177,2024-10-14,Sialkot,110.86666245833334
178,2024-10-14,Toba Tek Singh,113.82749491666668
179,2024-10-14,Vehari,118.79309791666667
180,2024-10-15,Attock,87.52795045833334
181,2024-10-15,Bahawalnagar,115.4590255
182,2024-10-15,Bahawalpur,118.091442125
183,2024-10-15,Bhakkar,100.761110125
184,2024-10-15,Chakwal,87.618967
185,2024-10-15,Chiniot,128.08608833333332
186,2024-10-15,Dera Ghazi Khan,119.34079679166666
187,2024-10-15,Faisalabad,115.87449433333335
188,2024-10-15,Gujranwala,114.14367779166668
189,2024-10-15,Gujrat,92.49452487500001
190,2024-10-15,Hafizabad,115.930170625
191,2024-10-15,Jhang,127.33076791666667
192,2024-10-15,Jhelum,100.78340354166666
193,2024-10-15,Kasur,113.35467579166668
194,2024-10-15,Khanewal,112.92204837499999
195,2024-10-15,Khushab,95.71830566666667
196,2024-10-15,Lahore,132.49706220833335
197,2024-10-15,Layyah,105.49389120833332
198,2024-10-15,Lodhran,103.42049691666666
199,2024-10-15,Mandi Bahuddin,112.86566116666667
200,2024-10-15,Mianwali,91.84403054166667
201,2024-10-15,Multan,110.94266312500001
202,2024-10-15,Muzaffargarh,107.72201770833334
